filename,class0,class1,class2,mean
BraTS2021_00006,0.024871444,0.09578778,0.10403051,0.07489658
BraTS2021_00014,0.27290902,0.39056972,0.10576288,0.25641388
BraTS2021_00028,0.23779795,0.15642661,0.21426895,0.20283116
BraTS2021_00054,0.055994533,0.31322503,0.023122009,0.13078053
BraTS2021_00061,0.111179315,0.23406959,0.28020963,0.20848618
BraTS2021_00077,0.20324393,0.18018012,0.12553579,0.16965328
BraTS2021_00084,0.12984335,0.05244893,0.04634928,0.07621386
BraTS2021_00089,0.14102396,0.07120716,0.058206063,0.09014573
BraTS2021_00095,0.08354749,0.06757636,0.063360825,0.07149489
BraTS2021_00098,0.25226992,0.3282518,0.070386395,0.21696937
BraTS2021_00102,0.25839803,0.2737553,0.033134043,0.18842913
BraTS2021_00108,0.1461418,0.44446176,0.2551342,0.2819126
BraTS2021_00112,0.43101755,0.39323825,0.16655205,0.3302693
BraTS2021_00115,0.15626141,0.18779881,0.09311415,0.14572479
BraTS2021_00117,0.1087203,0.072275944,0.08400026,0.08833217
BraTS2021_00121,0.038897835,0.08513628,0.15305063,0.09236158
BraTS2021_00123,0.16927269,0.074653074,0.064993605,0.102973126
BraTS2021_00124,0.4085986,0.20322971,0.38706237,0.33296356
BraTS2021_00154,0.21242313,0.086046234,0.081253305,0.12657422
BraTS2021_00166,0.117314,0.1972718,0.16117069,0.1585855
BraTS2021_00177,0.09637895,0.07217513,0.14992042,0.10615817
BraTS2021_00201,0.07746607,0.025509497,0.08049472,0.06115676
BraTS2021_00217,0.098412216,0.11744764,0.08049339,0.09878442
BraTS2021_00219,0.054838497,0.0354354,0.10557286,0.065282255
BraTS2021_00230,0.051133763,0.022400815,0.12324953,0.0655947
BraTS2021_00236,0.15932062,0.119172156,0.07197018,0.11682099
BraTS2021_00247,0.067204736,0.1819779,0.058663227,0.10261529
BraTS2021_00261,0.07942857,0.067969635,0.10158284,0.08299368
BraTS2021_00266,0.04130819,0.020942602,0.09448608,0.052245628
BraTS2021_00269,0.12561288,0.13455474,0.11714878,0.12577213
BraTS2021_00270,0.1836447,0.21385893,0.05274725,0.15008362
BraTS2021_00271,0.0791026,0.07619624,0.096902,0.08406695
BraTS2021_00273,0.06552671,0.19648126,0.07431654,0.11210816
BraTS2021_00284,0.26104945,0.22884957,0.06995833,0.18661912
BraTS2021_00294,0.05197041,0.14624952,0.09913329,0.09911773
BraTS2021_00297,0.28307503,0.35537234,0.054785617,0.23107767
BraTS2021_00317,0.12315188,0.09457887,0.07577956,0.09783677
BraTS2021_00320,0.24499694,0.11213882,0.21998835,0.1923747
BraTS2021_00331,0.39636135,0.067210674,0.10376482,0.18911229
BraTS2021_00347,0.06044917,0.048792757,0.056780435,0.055340786
BraTS2021_00359,0.05850502,0.11667459,0.08889452,0.088024706
BraTS2021_00378,0.057542842,0.27827182,0.20829216,0.18136895
BraTS2021_00392,0.08746524,0.053612065,0.1807499,0.10727573
BraTS2021_00403,0.095299765,0.090736374,0.12192695,0.10265436
BraTS2021_00410,0.06584293,0.12976101,0.12615356,0.1072525
BraTS2021_00414,0.13975643,0.0641981,0.09553154,0.09982868
BraTS2021_00426,0.07365097,0.062549666,0.08598292,0.074061185
BraTS2021_00445,0.08678215,0.18686226,0.13654149,0.13672863
BraTS2021_00451,0.059249114,0.21474418,0.080428116,0.11814047
BraTS2021_00453,0.040326267,0.09130003,0.082782514,0.071469605
BraTS2021_00455,0.09908914,0.13612804,0.15277974,0.1293323
BraTS2021_00457,0.077255264,0.16863519,0.08096156,0.108950675
BraTS2021_00472,0.1241225,0.06863639,0.14320783,0.1119889
BraTS2021_00488,0.13729522,0.112880126,0.24504659,0.16507398
BraTS2021_00493,0.088088565,0.26818997,0.37390843,0.24339564
BraTS2021_00501,0.060954053,0.16054067,0.2706499,0.16404821
BraTS2021_00517,0.05988847,0.07115447,0.05417618,0.06173971
BraTS2021_00524,0.090035215,0.05374577,0.12710604,0.09029567
BraTS2021_00526,0.09873698,0.21071947,0.19886559,0.16944067
BraTS2021_00547,0.039206333,0.10546903,0.12914099,0.091272116
BraTS2021_00554,0.07450059,0.11937634,0.068211876,0.08736294
BraTS2021_00559,0.22840893,0.17300123,0.16339797,0.18826938
BraTS2021_00570,0.053970158,0.023400735,0.018549873,0.03197359
BraTS2021_00584,0.084357426,0.039264627,0.20463863,0.10942023
BraTS2021_00599,0.1239697,0.08629443,0.05731193,0.08919201
BraTS2021_00626,0.18057567,0.14202338,0.20614615,0.17624839
BraTS2021_00628,0.15049312,0.111571565,0.09331396,0.11845955
BraTS2021_00638,0.02949291,0.03961674,0.042987876,0.037365843
BraTS2021_00640,0.20332885,0.30378318,0.07243321,0.19318175
BraTS2021_00641,0.108935855,0.06599792,0.26267907,0.14587094
BraTS2021_00642,0.093242586,0.09913725,0.23216283,0.14151423
BraTS2021_00656,0.04125239,0.43559256,0.2128342,0.22989304
BraTS2021_00680,0.18622395,0.17636938,0.14002685,0.16754007
BraTS2021_00687,0.128005,0.12299069,0.15587422,0.1356233
BraTS2021_00723,0.1716437,0.12178759,0.039902486,0.11111125
BraTS2021_00724,0.054635577,0.08278161,0.17814511,0.10518744
BraTS2021_00727,0.23166747,0.23355111,0.094900705,0.18670644
BraTS2021_00729,0.11892698,0.17968087,0.14807034,0.14889273
BraTS2021_00732,0.13453297,0.098217316,0.14948288,0.12741105
BraTS2021_00742,0.16208771,0.23198655,0.22509106,0.20638843
BraTS2021_00753,0.11110057,0.16999152,0.2741105,0.18506753
BraTS2021_00756,0.06774471,0.041914612,0.1862919,0.0986504
BraTS2021_00765,0.121171415,0.05052606,0.06615758,0.07928502
BraTS2021_00788,0.073932126,0.05351203,0.15105914,0.092834435
BraTS2021_00795,0.063627996,0.055841785,0.07813373,0.065867834
BraTS2021_00799,0.10601221,0.13184437,0.08290492,0.1069205
BraTS2021_00802,0.10330919,0.128291,0.26545972,0.16568664
BraTS2021_00809,0.09243347,0.070716806,0.10632493,0.08982507
BraTS2021_00816,0.21497324,0.15619162,0.11897433,0.16337973
BraTS2021_00840,0.1102813,0.06372616,0.16195787,0.11198845
BraTS2021_00999,0.13931084,0.15974568,0.16187754,0.1536447
BraTS2021_01001,0.14281276,0.17393485,0.060852956,0.12586685
BraTS2021_01005,0.10323261,0.04674159,0.23591729,0.1286305
BraTS2021_01007,0.038946018,0.059140813,0.0502527,0.049446512
BraTS2021_01008,0.050345708,0.08679946,0.038755756,0.05863364
BraTS2021_01016,0.17365205,0.052488804,0.08897421,0.10503835
BraTS2021_01019,0.15798412,0.054371227,0.08663843,0.09966459
BraTS2021_01020,0.116541706,0.0838847,0.11737992,0.10593543
BraTS2021_01026,0.05539918,0.055859864,0.0838956,0.06505155
BraTS2021_01028,0.027355675,0.04658811,0.03019827,0.034714017
BraTS2021_01052,0.03640575,0.07824734,0.13634542,0.08366617
BraTS2021_01057,0.06464044,0.22517642,0.08440451,0.12474046
BraTS2021_01059,0.1137429,0.13443701,0.082990326,0.110390075
BraTS2021_01064,0.3367378,0.32311302,0.25685444,0.30556843
BraTS2021_01077,0.35325027,0.39674467,0.0886164,0.2795371
BraTS2021_01078,0.076378845,0.1824489,0.17814864,0.14565879
BraTS2021_01080,0.04054213,0.035772167,0.11001457,0.062109623
BraTS2021_01088,0.113140345,0.14399993,0.14541127,0.13418384
BraTS2021_01091,0.21974401,0.2856919,0.07427876,0.19323821
BraTS2021_01107,0.19152662,0.06406835,0.20214014,0.15257837
BraTS2021_01115,0.07367052,0.09402252,0.08386525,0.08385277
BraTS2021_01126,0.09289614,0.16389675,0.11037936,0.122390755
BraTS2021_01129,0.05482083,0.11691568,0.08805976,0.086598754
BraTS2021_01130,0.07583424,0.081969246,0.037892126,0.06523187
BraTS2021_01131,0.017252669,0.076383546,0.10820873,0.06728165
BraTS2021_01142,0.14055863,0.19691688,0.21066162,0.18271238
BraTS2021_01153,0.078045316,0.12590544,0.085709944,0.096553564
BraTS2021_01154,0.05117301,0.039482377,0.17593777,0.088864386
BraTS2021_01170,0.348255,0.3848374,0.23509559,0.32272935
BraTS2021_01176,0.43444407,0.06852031,0.04245982,0.18180807
BraTS2021_01182,0.3484537,0.41976023,0.03236889,0.26686093
BraTS2021_01203,0.043741047,0.1974145,0.13858986,0.1265818
BraTS2021_01206,0.123071834,0.032793522,0.10178296,0.085882775
BraTS2021_01212,0.041252293,0.06593962,0.12993474,0.07904222
BraTS2021_01222,0.30975658,0.07517035,0.060331225,0.14841938
BraTS2021_01225,0.18159588,0.09616727,0.14212033,0.13996115
BraTS2021_01255,0.35341173,0.37133664,0.27450064,0.333083
BraTS2021_01256,0.061000176,0.096740305,0.064061046,0.07393384
BraTS2021_01258,0.06396641,0.11474993,0.06090616,0.079874165
BraTS2021_01262,0.08406459,0.1053472,0.25461543,0.14800908
BraTS2021_01263,0.13075197,0.14480321,0.05568104,0.11041208
BraTS2021_01286,0.04588677,0.089430846,0.07733168,0.0708831
BraTS2021_01293,0.15931456,0.19966172,0.14173546,0.16690391
BraTS2021_01295,0.064475045,0.08173486,0.14029516,0.09550168
BraTS2021_01301,0.17607635,0.30936033,0.26903683,0.25149116
BraTS2021_01302,0.08133046,0.035523377,0.020087497,0.045647115
BraTS2021_01303,0.12894054,0.06561428,0.24455857,0.14637113
BraTS2021_01306,0.2648547,0.092758454,0.13565782,0.16442366
BraTS2021_01307,0.18659434,0.13217926,0.09379867,0.13752408
BraTS2021_01317,0.054193832,0.09952584,0.09757433,0.083764665
BraTS2021_01326,0.0727698,0.124878034,0.08524117,0.094296336
BraTS2021_01329,0.08745034,0.21601954,0.12591824,0.14312938
BraTS2021_01333,0.07869416,0.23791437,0.36399946,0.22686933
BraTS2021_01335,0.08148682,0.0633859,0.14312756,0.0960001
BraTS2021_01336,0.081754304,0.20147927,0.077746965,0.12032685
BraTS2021_01340,0.038212337,0.075569555,0.09591319,0.06989836
BraTS2021_01345,0.13208982,0.08299111,0.045380235,0.08682039
BraTS2021_01346,0.06696635,0.13166133,0.098877825,0.0991685
BraTS2021_01353,0.07152077,0.18522678,0.13412502,0.13029085
BraTS2021_01354,0.08889438,0.15774035,0.055635702,0.10075682
BraTS2021_01356,0.13863452,0.08471316,0.060119264,0.09448898
BraTS2021_01357,0.051121034,0.08006723,0.09628001,0.07582276
BraTS2021_01360,0.059889615,0.14754863,0.04587454,0.0844376
BraTS2021_01364,0.30338597,0.32372284,0.09410691,0.24040525
BraTS2021_01365,0.37650278,0.28770015,0.24124217,0.30181503
