filename,class0,class1,class2,mean
BraTS2021_00006,0.08275248,0.16730241,0.2000261,0.15002699
BraTS2021_00014,0.42243034,0.63623226,0.21831714,0.42565992
BraTS2021_00028,0.40124986,0.22808352,0.3273954,0.31890962
BraTS2021_00054,0.18025802,0.50930566,0.054802507,0.24812205
BraTS2021_00061,0.19016507,0.3896328,0.4543495,0.3447158
BraTS2021_00077,0.38522658,0.3389982,0.2310521,0.31842563
BraTS2021_00084,0.19540972,0.11175567,0.09355417,0.13357319
BraTS2021_00089,0.23803943,0.16268778,0.11528489,0.17200403
BraTS2021_00095,0.16076547,0.10324985,0.13109285,0.13170272
BraTS2021_00098,0.5297806,0.6476971,0.13384527,0.43710765
BraTS2021_00102,0.7698352,0.6538281,0.109307885,0.5109904
BraTS2021_00108,0.2585871,0.8448379,0.38579878,0.49640796
BraTS2021_00112,0.7319045,0.77470005,0.26164544,0.5894167
BraTS2021_00115,0.2763363,0.33702868,0.19548285,0.26961595
BraTS2021_00117,0.26981908,0.21876991,0.143772,0.210787
BraTS2021_00121,0.08387245,0.18758518,0.26842874,0.17996211
BraTS2021_00123,0.2858814,0.15573996,0.10985732,0.18382622
BraTS2021_00124,0.7895993,0.32464114,0.6846655,0.5996353
BraTS2021_00154,0.37947387,0.17807674,0.1605007,0.23935044
BraTS2021_00166,0.21842374,0.32743746,0.29309413,0.27965176
BraTS2021_00177,0.2031905,0.15923357,0.28994775,0.21745728
BraTS2021_00201,0.15249652,0.054469258,0.1708844,0.12595005
BraTS2021_00217,0.21902007,0.24621436,0.15000927,0.20508122
BraTS2021_00219,0.111999094,0.12824512,0.2060675,0.14877057
BraTS2021_00230,0.14117625,0.07788107,0.2088742,0.14264384
BraTS2021_00236,0.29416335,0.2510602,0.124022186,0.2230819
BraTS2021_00247,0.13028452,0.28546143,0.10098153,0.17224248
BraTS2021_00261,0.17954582,0.12013358,0.1924862,0.1640552
BraTS2021_00266,0.074123025,0.06199628,0.18862674,0.10824868
BraTS2021_00269,0.24616134,0.24864677,0.22752279,0.24077697
BraTS2021_00270,0.384103,0.40182427,0.09551844,0.29381526
BraTS2021_00271,0.16282529,0.13441432,0.18159555,0.15961172
BraTS2021_00273,0.10265477,0.30501628,0.13803947,0.1819035
BraTS2021_00284,0.447368,0.42485246,0.1366188,0.33627975
BraTS2021_00294,0.13438398,0.26352748,0.18868174,0.19553107
BraTS2021_00297,0.46946138,0.5928078,0.106470644,0.38957992
BraTS2021_00317,0.23977274,0.23347479,0.15661849,0.20995533
BraTS2021_00320,0.4026993,0.18976766,0.36789566,0.32012087
BraTS2021_00331,0.9759985,0.4617247,0.22018304,0.5526354
BraTS2021_00347,0.11612666,0.10662335,0.105277896,0.109342635
BraTS2021_00359,0.12649283,0.2522029,0.17630875,0.18500149
BraTS2021_00378,0.15320754,0.4488336,0.3317803,0.3112738
BraTS2021_00392,0.16887516,0.107233584,0.31964654,0.1985851
BraTS2021_00403,0.19752097,0.1827434,0.2520185,0.21076095
BraTS2021_00410,0.15852982,0.23037867,0.23915377,0.20935409
BraTS2021_00414,0.26722643,0.14533699,0.2138334,0.20879894
BraTS2021_00426,0.15548229,0.11830637,0.14533097,0.13970654
BraTS2021_00445,0.17589998,0.3277551,0.292973,0.26554272
BraTS2021_00451,0.12133682,0.37589657,0.15107757,0.21610366
BraTS2021_00453,0.07675111,0.17389736,0.16436112,0.13833652
BraTS2021_00455,0.19092028,0.268217,0.29722136,0.25211954
BraTS2021_00457,0.16186523,0.296036,0.1491921,0.20236444
BraTS2021_00472,0.23898327,0.15675846,0.24309379,0.21294518
BraTS2021_00488,0.21701103,0.20906085,0.3856778,0.27058324
BraTS2021_00493,0.18110219,0.49202573,0.79791874,0.4903489
BraTS2021_00501,0.13860631,0.27393562,0.40541992,0.27265394
BraTS2021_00517,0.11003345,0.15981647,0.07780409,0.11588467
BraTS2021_00524,0.16023725,0.14034331,0.20965415,0.17007823
BraTS2021_00526,0.19572666,0.3638095,0.32184803,0.29379472
BraTS2021_00547,0.07910091,0.2045806,0.2587226,0.18080138
BraTS2021_00554,0.1693142,0.22903946,0.14387974,0.18074447
BraTS2021_00559,0.3628515,0.2801111,0.28733146,0.31009802
BraTS2021_00570,0.14091587,0.07562834,0.03878212,0.08510878
BraTS2021_00584,0.19072723,0.12713164,0.35570124,0.22452004
BraTS2021_00599,0.21154833,0.1783208,0.10958274,0.16648395
BraTS2021_00626,0.3607735,0.3235857,0.38033143,0.35489687
BraTS2021_00628,0.32627645,0.22851354,0.1499004,0.23489682
BraTS2021_00638,0.067754626,0.086722076,0.07851285,0.07766318
BraTS2021_00640,0.3107729,0.48800677,0.12786315,0.30888095
BraTS2021_00641,0.22873849,0.14527601,0.4121309,0.26204845
BraTS2021_00642,0.22647136,0.22275913,0.36998844,0.273073
BraTS2021_00656,0.15598607,0.8945758,0.33047795,0.4603466
BraTS2021_00680,0.30006355,0.3192399,0.24063963,0.2866477
BraTS2021_00687,0.2384907,0.22582543,0.26316565,0.24249393
BraTS2021_00723,0.29003227,0.23697364,0.06914511,0.198717
BraTS2021_00724,0.11853409,0.17436862,0.31732243,0.20340838
BraTS2021_00727,0.36139634,0.3824169,0.18570119,0.30983815
BraTS2021_00729,0.30370015,0.40988433,0.29181975,0.33513474
BraTS2021_00732,0.2744658,0.24028313,0.2822339,0.26566094
BraTS2021_00742,0.25471658,0.36253524,0.36311445,0.32678875
BraTS2021_00753,0.20297551,0.26778704,0.47174677,0.31416976
BraTS2021_00756,0.12673718,0.0980711,0.30794764,0.1775853
BraTS2021_00765,0.2506611,0.13379848,0.11082423,0.1650946
BraTS2021_00788,0.1844132,0.13480236,0.29133183,0.20351578
BraTS2021_00795,0.15620959,0.15928358,0.20125747,0.17225021
BraTS2021_00799,0.21116793,0.21344441,0.1362887,0.18696702
BraTS2021_00802,0.2242232,0.26905382,0.41498208,0.30275303
BraTS2021_00809,0.18626851,0.1578813,0.2078471,0.18399899
BraTS2021_00816,0.3946852,0.33270133,0.24643606,0.32460752
BraTS2021_00840,0.21539521,0.15361826,0.29486316,0.22129221
BraTS2021_00999,0.2430678,0.31132877,0.27713317,0.2771766
BraTS2021_01001,0.256883,0.32776436,0.10481721,0.22982152
BraTS2021_01005,0.19048363,0.10838312,0.36413383,0.2210002
BraTS2021_01007,0.080216974,0.13244128,0.09714763,0.10326862
BraTS2021_01008,0.11678387,0.19795449,0.11235267,0.14236368
BraTS2021_01016,0.30795008,0.112210095,0.1931625,0.20444089
BraTS2021_01019,0.29509896,0.13865912,0.14602529,0.19326113
BraTS2021_01020,0.23212987,0.15981725,0.2163974,0.20278151
BraTS2021_01026,0.12578708,0.09642255,0.14642696,0.12287887
BraTS2021_01028,0.05961597,0.09084529,0.05664186,0.069034375
BraTS2021_01052,0.07661152,0.1603228,0.24930924,0.16208118
BraTS2021_01057,0.17884985,0.3411624,0.1577192,0.22591048
BraTS2021_01059,0.21561895,0.22099772,0.16210118,0.19957261
BraTS2021_01064,0.975011,0.9754189,0.42251432,0.7909815
BraTS2021_01077,0.6522194,0.7168393,0.17776102,0.5156066
BraTS2021_01078,0.14005773,0.317391,0.29093602,0.24946158
BraTS2021_01080,0.076896906,0.10117527,0.16081664,0.11296294
BraTS2021_01088,0.25300968,0.33041477,0.28489548,0.28943998
BraTS2021_01091,0.40995693,0.5209308,0.24964958,0.39351246
BraTS2021_01107,0.307402,0.18777615,0.3763973,0.29052517
BraTS2021_01115,0.1384921,0.15712291,0.18125872,0.15895791
BraTS2021_01126,0.15951851,0.32275933,0.19352496,0.2252676
BraTS2021_01129,0.12852225,0.2188049,0.18192118,0.17641611
BraTS2021_01130,0.17976993,0.15575004,0.09802872,0.14451623
BraTS2021_01131,0.04129386,0.16476572,0.19878645,0.13494867
BraTS2021_01142,0.23204279,0.36921108,0.33279893,0.31135094
BraTS2021_01153,0.14287603,0.21902853,0.1565944,0.17283298
BraTS2021_01154,0.09394848,0.09582856,0.42974663,0.20650788
BraTS2021_01170,0.61852694,0.6535685,0.36543095,0.5458421
BraTS2021_01176,0.8955369,0.13868305,0.07000941,0.36807647
BraTS2021_01182,0.6048967,0.7177809,0.10756788,0.4767485
BraTS2021_01203,0.12752494,0.32359612,0.28155458,0.24422522
BraTS2021_01206,0.2319625,0.09707701,0.17940545,0.16948165
BraTS2021_01212,0.1120958,0.12572694,0.26137948,0.16640075
BraTS2021_01222,0.55229914,0.15578514,0.12969428,0.27925953
BraTS2021_01225,0.32573035,0.19199783,0.24005753,0.25259525
BraTS2021_01255,0.6202327,0.6457914,0.4460754,0.5706999
BraTS2021_01256,0.1499053,0.14135599,0.12522492,0.13882874
BraTS2021_01258,0.13391995,0.19019634,0.11252585,0.14554738
BraTS2021_01262,0.1764833,0.18787944,0.44837916,0.27091396
BraTS2021_01263,0.28047627,0.27880445,0.13323456,0.23083843
BraTS2021_01286,0.09467588,0.19485518,0.1468144,0.14544849
BraTS2021_01293,0.34976682,0.5087247,0.4127258,0.4237391
BraTS2021_01295,0.12122512,0.16341507,0.26090717,0.18184912
BraTS2021_01301,0.40256286,0.49728885,0.42028475,0.44004548
BraTS2021_01302,0.17232347,0.06259245,0.042714477,0.09254346
BraTS2021_01303,0.2396304,0.12380141,0.43138596,0.26493928
BraTS2021_01306,0.45774573,0.25987822,0.23809129,0.31857175
BraTS2021_01307,0.35682195,0.29565912,0.19789225,0.2834578
BraTS2021_01317,0.116184175,0.18605208,0.21496284,0.1723997
BraTS2021_01326,0.12182465,0.23834197,0.16891241,0.17635967
BraTS2021_01329,0.1645366,0.41533333,0.28605586,0.28864193
BraTS2021_01333,0.17532733,0.42470768,0.62201357,0.4073495
BraTS2021_01335,0.15240383,0.123972654,0.2790872,0.18515456
BraTS2021_01336,0.16004829,0.3305666,0.14540857,0.21200782
BraTS2021_01340,0.09786397,0.15743399,0.1948772,0.15005839
BraTS2021_01345,0.25852835,0.15899806,0.09076613,0.16943085
BraTS2021_01346,0.12632151,0.28471804,0.18416017,0.1983999
BraTS2021_01353,0.15476099,0.33090806,0.2403608,0.24200995
BraTS2021_01354,0.1863254,0.32770544,0.11505768,0.20969617
BraTS2021_01356,0.2775153,0.18684238,0.12617278,0.19684349
BraTS2021_01357,0.098633885,0.17642093,0.20571512,0.16025664
BraTS2021_01360,0.11881977,0.23430869,0.09978244,0.1509703
BraTS2021_01364,0.5381677,0.6131374,0.20957208,0.45362577
BraTS2021_01365,0.643166,0.52670735,0.36039746,0.5100903
BraTS2021_01373,0.16248298,0.17618814,0.26531133,0.20132749
BraTS2021_01388,0.13046217,0.2155653,0.12540466,0.15714404
BraTS2021_01390,0.17676705,0.25572202,0.37516898,0.26921937
BraTS2021_01398,0.13548273,0.3094704,0.2465556,0.2305029
BraTS2021_01406,0.28106686,0.09403497,0.26243573,0.21251254
BraTS2021_01410,0.1335035,0.2752694,0.19181287,0.20019525
BraTS2021_01415,0.18310207,0.13055533,0.19608924,0.16991556
BraTS2021_01416,0.13866974,0.21502091,0.14167354,0.16512139
BraTS2021_01417,0.17815807,0.25687546,0.12088609,0.18530655
BraTS2021_01432,0.852055,0.20849699,0.10380757,0.38811985
BraTS2021_01444,0.11367273,0.11787981,0.37007815,0.20054357
BraTS2021_01450,0.31433392,0.3362541,0.15932095,0.26996967
BraTS2021_01460,0.3247943,0.5853609,0.14923257,0.35312924
BraTS2021_01464,0.27524662,0.24385697,0.30007294,0.27305886
BraTS2021_01468,0.13301349,0.093523026,0.08607608,0.1042042
BraTS2021_01470,0.16408616,0.33458313,0.19994149,0.23287027
BraTS2021_01475,0.18177977,0.12946144,0.07253724,0.12792616
BraTS2021_01480,0.9225011,0.9609132,0.07544547,0.6529532
BraTS2021_01489,0.6023756,0.30588052,0.37710804,0.42845473
BraTS2021_01490,0.26721317,0.41171134,0.5375097,0.4054781
BraTS2021_01512,0.9602756,0.41331026,0.061791077,0.47845897
BraTS2021_01530,0.60535616,0.101867825,0.6464247,0.45121622
BraTS2021_01532,0.058469534,0.60349995,0.17689866,0.2796227
BraTS2021_01541,0.07696843,0.35651472,0.120580316,0.18468781
BraTS2021_01545,0.19933212,0.096363425,0.18050773,0.15873443
BraTS2021_01547,0.15295959,0.08246136,0.1646272,0.13334937
BraTS2021_01548,0.47470415,0.5594912,0.15287305,0.3956895
BraTS2021_01557,0.13462864,0.2687679,0.14352024,0.18230559
BraTS2021_01568,0.17316103,0.20420872,0.305027,0.22746558
BraTS2021_01585,0.14848292,0.28397143,0.17354709,0.20200048
BraTS2021_01612,0.08507627,0.08405571,0.11778939,0.09564046
BraTS2021_01626,0.3130249,0.34691936,0.1541143,0.27135286
BraTS2021_01627,0.22589356,0.099972606,0.14782351,0.15789656
BraTS2021_01635,0.35356814,0.39104468,0.29006016,0.34489098
BraTS2021_01636,0.9585818,0.8771936,0.5146812,0.7834856
BraTS2021_01640,0.34061885,0.37285835,0.35505223,0.35617647
BraTS2021_01642,0.10018815,0.24217409,0.20238698,0.18158306
BraTS2021_01643,0.10152674,0.1718367,0.25204766,0.17513704
BraTS2021_01644,0.22662161,0.24345855,0.308824,0.25963473
BraTS2021_01645,0.1335333,0.24229582,0.15684369,0.17755759
BraTS2021_01646,0.27736837,0.34903735,0.38853598,0.3383139
BraTS2021_01648,0.22217596,0.18643132,0.2519651,0.22019081
BraTS2021_01655,0.14893073,0.36596817,0.06402093,0.19297327
BraTS2021_01658,0.122962385,0.15128392,0.12652463,0.13359031
BraTS2021_01659,0.26931322,0.18471855,0.2046802,0.21957065
