filename,class0,class1,class2,mean
BraTS2021_00006,0.92520624,0.97458327,0.9765835,0.958791
BraTS2021_00014,0.58791834,0.48289663,0.8530245,0.6412798
BraTS2021_00028,0.57659596,0.7317907,0.79403764,0.7008081
BraTS2021_00054,0.7561879,0.87277055,0.9306373,0.8531986
BraTS2021_00061,0.6748179,0.7978738,0.7093981,0.7273633
BraTS2021_00077,0.91217226,0.96844155,0.9580473,0.9462204
BraTS2021_00084,0.8493518,0.8993192,0.9268468,0.89183927
BraTS2021_00089,0.94260824,0.975083,0.9537326,0.9571412
BraTS2021_00095,0.8886379,0.97870016,0.974612,0.94731665
BraTS2021_00098,0.33964542,0.45126927,0.6911607,0.4940251
BraTS2021_00102,0.5061107,0.49782106,0.81666344,0.6068651
BraTS2021_00108,0.54484606,0.1613243,0.8659416,0.5240373
BraTS2021_00112,0.3804247,0.39546567,0.89431477,0.55673504
BraTS2021_00115,0.90003437,0.9660244,0.9681075,0.9447221
BraTS2021_00117,0.70770574,0.7044959,0.9148631,0.77568823
BraTS2021_00121,0.9513199,0.9646273,0.9285368,0.9481613
BraTS2021_00123,0.9283173,0.9691281,0.94524664,0.94756407
BraTS2021_00124,0.48515671,0.96021956,0.86844146,0.7712726
BraTS2021_00154,0.7714915,0.9015928,0.94455147,0.87254524
BraTS2021_00166,0.9317972,0.9451293,0.9579821,0.9449695
BraTS2021_00177,0.9083909,0.97545123,0.96964025,0.9511607
BraTS2021_00201,0.87173873,0.953309,0.9693974,0.93148166
BraTS2021_00217,0.95702046,0.9655765,0.97209716,0.96489805
BraTS2021_00219,0.93577087,0.94902974,0.9306525,0.9384844
BraTS2021_00230,0.84126705,0.9563939,0.94911253,0.9155912
BraTS2021_00236,0.8907282,0.9330287,0.9365065,0.9200878
BraTS2021_00247,0.92207015,0.9082258,0.9578671,0.9293876
BraTS2021_00261,0.94809604,0.9833299,0.9684517,0.96662587
BraTS2021_00266,0.9047527,0.96795744,0.9754662,0.9493921
BraTS2021_00269,0.92127097,0.9644979,0.9698008,0.95185655
BraTS2021_00270,0.9335462,0.9055481,0.8571065,0.8987336
BraTS2021_00271,0.92550397,0.9376727,0.96960247,0.94425964
BraTS2021_00273,0.9001634,0.93823427,0.9699261,0.93610793
BraTS2021_00284,0.7218711,0.6914231,0.7859587,0.73308426
BraTS2021_00294,0.89055127,0.9467169,0.9833186,0.94019556
BraTS2021_00297,0.80716723,0.9130693,0.9181451,0.8794606
BraTS2021_00317,0.955304,0.9700044,0.97680354,0.9673707
BraTS2021_00320,0.7928363,0.9162072,0.8295256,0.8461897
BraTS2021_00331,0.20362382,0.622804,0.7670644,0.5311641
BraTS2021_00347,0.87979084,0.9627436,0.9672607,0.93659836
BraTS2021_00359,0.95083284,0.9620454,0.9645643,0.9591475
BraTS2021_00378,0.83026814,0.77598315,0.8976771,0.8346428
BraTS2021_00392,0.95116436,0.9780857,0.9665297,0.96525985
BraTS2021_00403,0.92592126,0.9729486,0.9740028,0.9576242
BraTS2021_00410,0.9098949,0.94164354,0.88333255,0.91162366
BraTS2021_00414,0.82501924,0.9466082,0.9651723,0.91226655
BraTS2021_00426,0.95442235,0.97395736,0.97684866,0.9684095
BraTS2021_00445,0.94290113,0.9494868,0.9687491,0.9537123
BraTS2021_00451,0.91642135,0.95276004,0.97256684,0.9472494
BraTS2021_00453,0.91157794,0.94694835,0.9796864,0.94607085
BraTS2021_00455,0.9540352,0.9622951,0.9783499,0.9648934
BraTS2021_00457,0.90375125,0.9542815,0.9551749,0.93773586
BraTS2021_00472,0.760155,0.9420326,0.93747246,0.8798866
BraTS2021_00488,0.8270293,0.9487694,0.91691256,0.89757043
BraTS2021_00493,0.8541646,0.7903475,0.23190263,0.6254716
BraTS2021_00501,0.81847215,0.86523956,0.8475689,0.84376025
BraTS2021_00517,0.94022566,0.94402874,0.95148677,0.9452471
BraTS2021_00524,0.79475313,0.9582147,0.9477518,0.9002399
BraTS2021_00526,0.86915183,0.962794,0.95218027,0.9280421
BraTS2021_00547,0.8887941,0.9660754,0.9470688,0.9339795
BraTS2021_00554,0.90920484,0.98378754,0.94954103,0.94751114
BraTS2021_00559,0.8136461,0.94715995,0.7850251,0.8486104
BraTS2021_00570,0.81325805,0.86103857,0.9149586,0.8630851
BraTS2021_00584,0.90153825,0.9244307,0.86286104,0.89627665
BraTS2021_00599,0.9148513,0.96110004,0.97199464,0.9493153
BraTS2021_00626,0.9225204,0.96359545,0.9520862,0.94606733
BraTS2021_00628,0.8772101,0.9105305,0.9299675,0.9059027
BraTS2021_00638,0.86164105,0.86939156,0.763112,0.83138156
BraTS2021_00640,0.7162481,0.89933205,0.8970596,0.8375466
BraTS2021_00641,0.9165616,0.97037876,0.87822056,0.9217203
BraTS2021_00642,0.89523995,0.9583617,0.7657447,0.8731155
BraTS2021_00656,0.3642835,0.15742952,0.92848945,0.48340082
