filename,class0,class1,class2,mean
BraTS2021_00006,0.47870788,0.53799915,0.49234575,0.5030176
BraTS2021_00014,0.735565,0.81865895,0.5860664,0.71343017
BraTS2021_00028,0.6577529,0.6115725,0.63058245,0.6333026
BraTS2021_00054,0.44516784,0.85910624,0.3930071,0.5657604
BraTS2021_00061,0.54380184,0.61767596,0.53016996,0.5638826
BraTS2021_00077,0.6385059,0.58606577,0.52465177,0.5830745
BraTS2021_00084,0.48435816,0.4797756,0.40575802,0.4566306
BraTS2021_00089,0.72988397,0.74480146,0.5155451,0.6634102
BraTS2021_00095,0.4803381,0.52319336,0.43502438,0.47951862
BraTS2021_00098,0.70442516,0.8465515,0.49808645,0.68302107
BraTS2021_00102,0.6120407,0.6217015,0.47856808,0.5707701
BraTS2021_00108,0.8722542,0.8307653,0.46002007,0.72101325
BraTS2021_00112,0.8363718,0.6661163,0.57058114,0.6910231
BraTS2021_00115,0.5745357,0.7034602,0.5020939,0.5933633
BraTS2021_00117,0.6733254,0.7206741,0.6025541,0.66551787
BraTS2021_00121,0.5964579,0.65334785,0.51208496,0.5872969
BraTS2021_00123,0.5669843,0.5682486,0.6810896,0.60544086
BraTS2021_00124,0.84012693,0.5044329,0.8734022,0.7393207
BraTS2021_00154,0.69338053,0.4479469,0.51990986,0.55374575
BraTS2021_00166,0.62225294,0.66687596,0.39195406,0.56036097
BraTS2021_00177,0.4172926,0.5161587,0.48246092,0.4719707
BraTS2021_00201,0.4442673,0.46597368,0.37517238,0.42847112
BraTS2021_00217,0.6253248,0.6228545,0.60120875,0.61646265
BraTS2021_00219,0.5836395,0.5836395,0.4954647,0.5542479
BraTS2021_00230,0.46461773,0.49785757,0.5322018,0.4982257
BraTS2021_00236,0.53645253,0.5476465,0.40180504,0.49530137
BraTS2021_00247,0.5602814,0.4995643,0.54324025,0.534362
BraTS2021_00261,0.4839851,0.48519516,0.46443194,0.4778707
BraTS2021_00266,0.46066052,0.4600569,0.36054513,0.42708752
BraTS2021_00269,0.5630345,0.7183034,0.40978676,0.56370825
BraTS2021_00270,0.65614355,0.65614355,0.46771726,0.5933348
BraTS2021_00271,0.69192785,0.7258713,0.49919784,0.63899904
BraTS2021_00273,0.35219133,0.53669125,0.6796914,0.52285796
BraTS2021_00284,0.68727094,0.6840328,0.50637984,0.62589455
BraTS2021_00294,0.47545055,0.49619243,0.41163877,0.4610939
BraTS2021_00297,0.81606305,0.8178565,0.44494784,0.6929558
BraTS2021_00317,0.43854064,0.42190397,0.40984333,0.42342934
BraTS2021_00320,0.7790886,0.53592986,0.4255692,0.58019584
BraTS2021_00331,0.6844398,0.7773037,0.7324419,0.73139507
BraTS2021_00347,0.42534596,0.43442366,0.49992895,0.45323285
BraTS2021_00359,0.49709788,0.49709788,0.37837052,0.45752206
BraTS2021_00378,0.7133917,0.7077476,0.7064383,0.7091925
BraTS2021_00392,0.37767366,0.4139712,0.35763925,0.3830947
BraTS2021_00403,0.4981831,0.51204216,0.6477429,0.5526561
BraTS2021_00410,0.5483198,0.517359,0.5086376,0.52477217
BraTS2021_00414,0.5433223,0.7399917,0.37783572,0.5537166
BraTS2021_00426,0.4820022,0.44088072,0.45420572,0.45902956
BraTS2021_00445,0.5522248,0.58596957,0.47563726,0.53794384
BraTS2021_00451,0.43027452,0.4133901,0.74730444,0.530323
BraTS2021_00453,0.41970935,0.47955498,0.37006682,0.4231104
BraTS2021_00455,0.53130186,0.46637055,0.67510015,0.5575909
BraTS2021_00457,0.5611331,0.58097523,0.7540894,0.63206595
BraTS2021_00472,0.6220633,0.6431991,0.69858456,0.65461564
BraTS2021_00488,0.57930017,0.6624725,0.7551239,0.6656322
BraTS2021_00493,0.4364958,0.44923496,0.8340008,0.57324386
BraTS2021_00501,0.43917027,0.43335444,0.87031317,0.58094597
BraTS2021_00517,0.49109358,0.5072928,0.450961,0.4831158
BraTS2021_00524,0.4498305,0.5055941,0.41784376,0.45775613
BraTS2021_00526,0.47352475,0.6707504,0.6681351,0.60413677
BraTS2021_00547,0.4948234,0.66478235,0.37713945,0.5122484
BraTS2021_00554,0.42814645,0.5276527,0.4288362,0.4615451
BraTS2021_00559,0.61944777,0.72734535,0.7237271,0.69017345
BraTS2021_00570,0.43143895,0.37996915,0.41806525,0.40982446
BraTS2021_00584,0.59081197,0.59081197,0.67166346,0.6177625
BraTS2021_00599,0.5299264,0.6143708,0.44580454,0.5300339
BraTS2021_00626,0.7670017,0.82185185,0.6954768,0.76144344
BraTS2021_00628,0.7941164,0.71905565,0.43862903,0.6506004
BraTS2021_00638,0.41042554,0.4243958,0.45273286,0.42918476
BraTS2021_00640,0.6036993,0.76711684,0.43646413,0.60242677
BraTS2021_00641,0.48044968,0.4177059,0.7922579,0.56347114
BraTS2021_00642,0.5237328,0.56164515,0.49799666,0.52779156
BraTS2021_00656,0.63442564,0.8169573,0.4726153,0.6413327
BraTS2021_00680,0.849064,0.9317331,0.5242029,0.76833326
BraTS2021_00687,0.4323047,0.58641845,0.67971945,0.5661475
BraTS2021_00723,0.64063096,0.81267405,0.41413504,0.62248
BraTS2021_00724,0.470761,0.43579835,0.61361843,0.50672597
BraTS2021_00727,0.61855257,0.73269165,0.62688893,0.65937775
BraTS2021_00729,0.67379665,0.65789443,0.49071094,0.60746735
BraTS2021_00732,0.47756302,0.47939888,0.71568257,0.5575481
BraTS2021_00742,0.5285907,0.75886065,0.7873436,0.69159824
BraTS2021_00753,0.778306,0.82485795,0.85047597,0.81788
BraTS2021_00756,0.39423287,0.51537067,0.60343814,0.50434726
BraTS2021_00765,0.6043782,0.6508587,0.729079,0.66143864
BraTS2021_00788,0.9262301,0.9262301,0.76927316,0.8739111
BraTS2021_00795,0.7985467,0.88093674,0.6164889,0.7653241
BraTS2021_00799,0.3635477,0.37485638,0.42394716,0.38745043
BraTS2021_00802,0.59993804,0.59993804,0.55912864,0.5863349
BraTS2021_00809,0.48467326,0.39463902,0.45673707,0.44534978
BraTS2021_00816,0.7478574,0.7637844,0.6003531,0.70399827
BraTS2021_00840,0.44602448,0.81857103,0.43034127,0.5649789
BraTS2021_00999,0.6638108,0.50624067,0.67167145,0.61390764
BraTS2021_01001,0.6686609,0.53492934,0.6512815,0.61829054
BraTS2021_01005,0.5547859,0.5744006,0.73484784,0.6213448
BraTS2021_01007,0.587,0.51770294,0.47041902,0.5250407
BraTS2021_01008,0.47826934,0.68086684,0.5277573,0.5622978
BraTS2021_01016,0.5975206,0.5641686,0.62050176,0.59406364
BraTS2021_01019,0.45716262,0.46880654,0.33726543,0.4210782
BraTS2021_01020,0.47780114,0.41364473,0.53604686,0.4758309
BraTS2021_01026,0.41708168,0.4917205,0.42439348,0.44439855
BraTS2021_01028,0.5641458,0.5752034,0.43646836,0.52527255
BraTS2021_01052,0.4527856,0.5074281,0.6568867,0.5390335
BraTS2021_01057,0.6439639,0.594985,0.54786706,0.5956053
BraTS2021_01059,0.6851682,0.5405339,0.4321168,0.5526063
BraTS2021_01064,0.67902386,0.6032442,0.60216445,0.6281442
BraTS2021_01077,0.92254984,0.9225497,0.7266107,0.8572368
BraTS2021_01078,0.7106349,0.66541517,0.6358796,0.67064315
BraTS2021_01080,0.3947171,0.39207342,0.46277815,0.4165229
BraTS2021_01088,0.61833096,0.7890329,0.4592758,0.62221324
BraTS2021_01091,0.7728382,0.8492492,0.5406508,0.7209127
BraTS2021_01107,0.60659415,0.77792454,0.4133433,0.59928733
BraTS2021_01115,0.55204785,0.76742095,0.39183956,0.57043606
BraTS2021_01126,0.44514388,0.3801161,0.33898985,0.3880833
BraTS2021_01129,0.5175935,0.5248005,0.5369772,0.526457
BraTS2021_01130,0.747063,0.7150476,0.41568995,0.62593347
BraTS2021_01131,0.55096745,0.49986523,0.5377133,0.5295153
BraTS2021_01142,0.6259538,0.5755023,0.6313097,0.6109219
BraTS2021_01153,0.37668562,0.6105123,0.36725459,0.45148417
BraTS2021_01154,0.4249181,0.4752611,0.5356848,0.47862133
BraTS2021_01170,0.85813236,0.86584395,0.60965836,0.7778783
BraTS2021_01176,0.92687196,0.861821,0.60782397,0.7988389
BraTS2021_01182,0.7673587,0.7975023,0.54859865,0.70448655
BraTS2021_01203,0.58085954,0.5589515,0.6472683,0.5956931
BraTS2021_01206,0.6882148,0.46050504,0.5561798,0.56829983
BraTS2021_01212,0.5430991,0.55242115,0.52786326,0.54112786
BraTS2021_01222,0.82645226,0.5249809,0.47194296,0.6077921
BraTS2021_01225,0.72352636,0.7686638,0.61714464,0.7031116
BraTS2021_01255,0.8156749,0.8156749,0.7867215,0.8060238
BraTS2021_01256,0.60349214,0.6151226,0.3799551,0.53285664
BraTS2021_01258,0.5091864,0.39319053,0.4788429,0.46040663
BraTS2021_01262,0.5500876,0.58354723,0.6971232,0.6102527
BraTS2021_01263,0.6900439,0.4886386,0.4961574,0.55828
BraTS2021_01286,0.5867338,0.5717943,0.45001075,0.5361796
