filename,class0,class1,class2,mean
BraTS2021_00006,0.34052724,0.3048207,0.39558092,0.34697628
BraTS2021_00014,0.7838258,0.8461324,0.47936916,0.7031091
BraTS2021_00028,0.43438357,0.4182066,0.65651274,0.5030343
BraTS2021_00054,0.36961937,0.7939938,0.33771092,0.5004413
BraTS2021_00061,0.4514625,0.3494284,0.4814684,0.42745313
BraTS2021_00077,0.48699325,0.48035896,0.39112782,0.45282665
BraTS2021_00084,0.32802317,0.28967053,0.26882863,0.29550743
BraTS2021_00089,0.32138905,0.29879433,0.24155885,0.2872474
BraTS2021_00095,0.29661006,0.26798838,0.19410604,0.2529015
BraTS2021_00098,0.6527258,0.8029932,0.34143716,0.599052
BraTS2021_00102,0.81290627,0.7343668,0.5954018,0.714225
BraTS2021_00108,0.61160445,0.79418766,0.48572248,0.63050485
BraTS2021_00112,0.8021169,0.6557859,0.3447499,0.60088426
BraTS2021_00115,0.35647976,0.47751048,0.24969965,0.36123
BraTS2021_00117,0.6260716,0.49250543,0.20160106,0.44005933
BraTS2021_00121,0.32938623,0.39636102,0.44862407,0.39145708
BraTS2021_00123,0.46245915,0.39632264,0.48707443,0.44861874
BraTS2021_00124,0.80043256,0.42401668,0.8974246,0.7072913
BraTS2021_00154,0.6226823,0.41951764,0.30347663,0.4485588
BraTS2021_00166,0.36434358,0.40941173,0.21339,0.32904842
BraTS2021_00177,0.25969788,0.22574505,0.17561722,0.22035338
BraTS2021_00201,0.3646051,0.4190596,0.14969139,0.3111187
BraTS2021_00217,0.28415367,0.31746936,0.32390016,0.30850774
BraTS2021_00219,0.26513577,0.28094596,0.5252856,0.35712242
BraTS2021_00230,0.3463847,0.30738792,0.3379774,0.33058333
BraTS2021_00236,0.45796642,0.44636977,0.19566232,0.36666617
BraTS2021_00247,0.4003101,0.34727824,0.29758728,0.34839186
BraTS2021_00261,0.34454882,0.32014403,0.21142495,0.29203928
BraTS2021_00266,0.314614,0.2720394,0.17337173,0.2533417
BraTS2021_00269,0.47650516,0.5358303,0.20426905,0.40553486
BraTS2021_00270,0.6524253,0.65352124,0.43912125,0.5816893
BraTS2021_00271,0.5678712,0.6709878,0.1547528,0.46453726
BraTS2021_00273,0.38514107,0.3396885,0.32518512,0.3500049
BraTS2021_00284,0.8163164,0.586938,0.28161895,0.56162447
BraTS2021_00294,0.32304537,0.31968635,0.22280625,0.28851268
BraTS2021_00297,0.7726048,0.7993261,0.28706175,0.6196642
BraTS2021_00317,0.4102245,0.35000584,0.22132814,0.32718614
BraTS2021_00320,0.7348306,0.48395967,0.54194546,0.5869119
BraTS2021_00331,0.9025024,0.8949875,0.7211847,0.8395582
BraTS2021_00347,0.30831867,0.26296496,0.18498307,0.2520889
BraTS2021_00359,0.39445096,0.39446953,0.19549596,0.32813883
BraTS2021_00378,0.6234318,0.68505806,0.23350143,0.5139971
BraTS2021_00392,0.25723886,0.22686201,0.22971883,0.23793991
BraTS2021_00403,0.28302437,0.27227068,0.63665056,0.39731517
BraTS2021_00410,0.26193875,0.3352524,0.44822302,0.3484714
BraTS2021_00414,0.6286676,0.30923453,0.14241725,0.36010647
BraTS2021_00426,0.3837503,0.36456293,0.19119287,0.31316867
BraTS2021_00445,0.5044204,0.53696775,0.2575429,0.43297705
BraTS2021_00451,0.37816772,0.4677676,0.5584648,0.46813336
BraTS2021_00453,0.23510444,0.23055845,0.2965132,0.2540587
BraTS2021_00455,0.33854038,0.3258993,0.32239175,0.32894382
BraTS2021_00457,0.27536595,0.3272047,0.54254323,0.38170466
BraTS2021_00472,0.4172809,0.2735157,0.5033124,0.39803633
BraTS2021_00488,0.32915592,0.2875702,0.4479028,0.3548763
BraTS2021_00493,0.3205965,0.6850346,0.86750853,0.6243799
BraTS2021_00501,0.44589671,0.489012,0.76059973,0.5651695
BraTS2021_00517,0.3071061,0.2792019,0.2188248,0.2683776
BraTS2021_00524,0.38421482,0.3464882,0.3913878,0.37403026
BraTS2021_00526,0.4241739,0.6272618,0.49835706,0.51659757
BraTS2021_00547,0.37918648,0.42889643,0.31646472,0.37484923
BraTS2021_00554,0.23359507,0.26743394,0.2347427,0.24525724
BraTS2021_00559,0.5035019,0.6767319,0.62660515,0.6022796
BraTS2021_00570,0.33559835,0.43109858,0.31341434,0.3600371
BraTS2021_00584,0.66378117,0.70110446,0.65956235,0.67481595
BraTS2021_00599,0.30760783,0.30737573,0.3642452,0.32640958
BraTS2021_00626,0.619636,0.6021627,0.4192793,0.547026
BraTS2021_00628,0.53648114,0.47261947,0.35389483,0.45433185
BraTS2021_00638,0.40326,0.41229647,0.27034998,0.36196885
BraTS2021_00640,0.4129082,0.53773284,0.2197259,0.39012232
BraTS2021_00641,0.26472455,0.23036762,0.55929315,0.35146177
BraTS2021_00642,0.4535089,0.43112862,0.52242136,0.46901965
BraTS2021_00656,0.30037272,0.91342413,0.24542922,0.4864087
BraTS2021_00680,0.62456745,0.7286862,0.47596505,0.60973954
BraTS2021_00687,0.31302515,0.37650463,0.52588284,0.40513754
BraTS2021_00723,0.45023572,0.47370166,0.20724231,0.3770599
BraTS2021_00724,0.40316635,0.38675305,0.42796168,0.40596035
BraTS2021_00727,0.5751134,0.6496508,0.28328478,0.502683
BraTS2021_00729,0.39649144,0.38032705,0.21496306,0.33059385
BraTS2021_00732,0.4673847,0.49487185,0.5065954,0.48961732
BraTS2021_00742,0.381715,0.6093168,0.6196111,0.53688097
BraTS2021_00753,0.570779,0.5641202,0.4896221,0.54150707
BraTS2021_00756,0.32680348,0.40546334,0.39739394,0.37655357
BraTS2021_00765,0.45313463,0.4292077,0.4856409,0.4559944
BraTS2021_00788,0.5023722,0.48625675,0.36079383,0.4498076
BraTS2021_00795,0.5031004,0.53639245,0.3509141,0.463469
BraTS2021_00799,0.29591346,0.3721814,0.13529162,0.2677955
BraTS2021_00802,0.23737925,0.29671907,0.74149895,0.42519912
BraTS2021_00809,0.1989786,0.22214937,0.048811406,0.15664646
BraTS2021_00816,0.58515155,0.56799453,0.2626369,0.47192764
BraTS2021_00840,0.36809492,0.6666792,0.14249054,0.3924215
BraTS2021_00999,0.71546257,0.3770728,0.3590694,0.48386827
BraTS2021_01001,0.48659822,0.5009643,0.40049857,0.46268702
BraTS2021_01005,0.3789816,0.31565234,0.5871945,0.42727613
BraTS2021_01007,0.45750633,0.4401792,0.18513814,0.3609412
BraTS2021_01008,0.28530154,0.28504676,0.15605393,0.24213405
BraTS2021_01016,0.5111013,0.44761658,0.3304263,0.4297147
BraTS2021_01019,0.18953568,0.35002914,0.121014714,0.22019319
BraTS2021_01020,0.27123046,0.37568486,0.10982135,0.25224555
BraTS2021_01026,0.49385396,0.4350882,0.31009427,0.41301215
BraTS2021_01028,0.3668913,0.38206068,0.37620312,0.3750517
BraTS2021_01052,0.30747706,0.25153995,0.16108125,0.24003275
BraTS2021_01057,0.481938,0.3934009,0.40855283,0.42796388
BraTS2021_01059,0.5868091,0.4716691,0.3512423,0.46990684
BraTS2021_01064,0.76346916,0.7451212,0.64406776,0.71755266
BraTS2021_01077,0.87799543,0.8810969,0.53755075,0.7655477
BraTS2021_01078,0.63531,0.6387547,0.4264359,0.56683356
BraTS2021_01080,0.25323296,0.23373607,0.23081928,0.23926277
BraTS2021_01088,0.29387915,0.34088656,0.5056634,0.38014305
BraTS2021_01091,0.561594,0.61315006,0.39184207,0.5221954
BraTS2021_01107,0.3322863,0.5069964,0.16627613,0.33518627
BraTS2021_01115,0.41306695,0.522612,0.19016457,0.37528118
BraTS2021_01126,0.2083013,0.16604537,0.055170894,0.14317252
BraTS2021_01129,0.42314523,0.4456442,0.31553876,0.39477608
BraTS2021_01130,0.47899714,0.47632167,0.3364752,0.43059802
BraTS2021_01131,0.4345409,0.45461267,0.34130186,0.4101518
BraTS2021_01142,0.6077541,0.5113336,0.400476,0.5065212
BraTS2021_01153,0.3268746,0.44944817,0.23827064,0.3381978
BraTS2021_01154,0.38285348,0.4353742,0.5825453,0.4669243
BraTS2021_01170,0.67704403,0.70854986,0.31669968,0.5674312
BraTS2021_01176,0.88700145,0.42046896,0.16853324,0.4920012
BraTS2021_01182,0.6331798,0.7227408,0.35547602,0.5704655
BraTS2021_01203,0.52193964,0.66101587,0.47346166,0.55213904
BraTS2021_01206,0.6262902,0.32063547,0.39976883,0.44889817
BraTS2021_01212,0.36496735,0.35397065,0.3041774,0.34103847
BraTS2021_01222,0.82428026,0.4692997,0.41207218,0.5685507
BraTS2021_01225,0.31204772,0.35285977,0.37874243,0.3478833
BraTS2021_01255,0.7019404,0.71206963,0.64727616,0.6870954
BraTS2021_01256,0.52512336,0.2608649,0.22513747,0.33704194
BraTS2021_01258,0.48148227,0.36352855,0.3469079,0.39730623
BraTS2021_01262,0.51716197,0.49502617,0.5435633,0.51858383
BraTS2021_01263,0.576129,0.56564254,0.27471328,0.47216162
BraTS2021_01286,0.3466354,0.35621685,0.29214856,0.33166695
