filename,class0,class1,class2,mean
BraTS2021_00006,0.9234814,0.9720678,0.971772,0.9557738
BraTS2021_00014,0.49464154,0.50549227,0.81529117,0.60514164
BraTS2021_00028,0.7823983,0.8300931,0.78638405,0.79962516
BraTS2021_00054,0.7640378,0.84714293,0.8955292,0.83557004
BraTS2021_00061,0.72516704,0.8743724,0.8051441,0.8015612
BraTS2021_00077,0.94779885,0.97615826,0.94782466,0.9572606
BraTS2021_00084,0.876395,0.9039528,0.9218552,0.90073436
BraTS2021_00089,0.9655061,0.9773466,0.9548782,0.96591026
BraTS2021_00095,0.91189027,0.9774341,0.97091466,0.953413
BraTS2021_00098,0.41525766,0.51576155,0.6687466,0.5332553
BraTS2021_00102,0.5452402,0.53293735,0.7833551,0.6205109
BraTS2021_00108,0.6940874,0.4703955,0.8708698,0.6784509
BraTS2021_00112,0.4848261,0.57488626,0.9081494,0.65595394
BraTS2021_00115,0.93493575,0.96997124,0.9649885,0.95663184
BraTS2021_00117,0.7013936,0.7444493,0.91617346,0.7873388
BraTS2021_00121,0.9526972,0.9660343,0.9272022,0.9486446
BraTS2021_00123,0.9396489,0.9676476,0.93507594,0.9474575
BraTS2021_00124,0.4846729,0.9662847,0.8321586,0.7610387
BraTS2021_00154,0.76933104,0.89224136,0.94160324,0.8677252
BraTS2021_00166,0.94102776,0.9593984,0.9621999,0.9542087
BraTS2021_00177,0.93815833,0.9796627,0.9724714,0.9634308
BraTS2021_00201,0.907092,0.96175194,0.97251105,0.9471183
BraTS2021_00217,0.97442716,0.9789202,0.9676374,0.9736616
BraTS2021_00219,0.9667045,0.9745849,0.9074074,0.9495656
BraTS2021_00230,0.8700657,0.9610473,0.95404047,0.9283845
BraTS2021_00236,0.92512333,0.9512032,0.9350608,0.9371291
BraTS2021_00247,0.9323546,0.94562066,0.96145433,0.9464765
BraTS2021_00261,0.9601504,0.9862154,0.96775293,0.9713729
BraTS2021_00266,0.92909205,0.9702178,0.97118986,0.9568332
BraTS2021_00269,0.9436313,0.96653956,0.9696572,0.95994264
BraTS2021_00270,0.94260114,0.9429807,0.84122694,0.90893626
BraTS2021_00271,0.92891073,0.90889907,0.9728063,0.936872
BraTS2021_00273,0.92292213,0.9665016,0.9643208,0.95124817
BraTS2021_00284,0.7148594,0.7435127,0.79647017,0.7516141
BraTS2021_00294,0.8705422,0.928968,0.9773592,0.9256231
BraTS2021_00297,0.78441054,0.9130356,0.9144286,0.87062484
BraTS2021_00317,0.96810365,0.97886866,0.975793,0.9742551
BraTS2021_00320,0.7929936,0.9190776,0.8319228,0.84799796
BraTS2021_00331,0.14461538,0.015204227,0.6612532,0.27369094
BraTS2021_00347,0.9239531,0.97497773,0.97031796,0.9564163
BraTS2021_00359,0.96038204,0.9720829,0.97089213,0.96778566
BraTS2021_00378,0.8495965,0.86922926,0.92844665,0.8824242
BraTS2021_00392,0.966974,0.98438346,0.97170043,0.97435266
BraTS2021_00403,0.9573502,0.9786606,0.9559368,0.9639826
BraTS2021_00410,0.95423454,0.97235507,0.8947419,0.9404438
BraTS2021_00414,0.80252916,0.93685466,0.9684352,0.9026063
BraTS2021_00426,0.96894044,0.98099726,0.9762514,0.9753964
BraTS2021_00445,0.9502067,0.96179205,0.9694348,0.9604778
BraTS2021_00451,0.9338789,0.9643545,0.9658294,0.9546876
BraTS2021_00453,0.942142,0.9607502,0.97692966,0.9599406
BraTS2021_00455,0.9583343,0.971557,0.9763307,0.9687407
BraTS2021_00457,0.92262924,0.9723966,0.93611443,0.9437134
BraTS2021_00472,0.8198478,0.928884,0.91804737,0.88892645
BraTS2021_00488,0.89078796,0.95479125,0.9043585,0.9166458
BraTS2021_00493,0.86281157,0.80486417,0.17808303,0.6152529
BraTS2021_00501,0.81505173,0.8740027,0.75880337,0.8159526
BraTS2021_00517,0.94790006,0.95644313,0.94414014,0.9494944
BraTS2021_00524,0.8666614,0.9649498,0.93043756,0.9206829
BraTS2021_00526,0.88314474,0.9643029,0.9415103,0.9296527
BraTS2021_00547,0.9168475,0.9722539,0.9483827,0.945828
BraTS2021_00554,0.93626153,0.98473805,0.94542557,0.95547503
