filename,class0,class1,class2,mean
BraTS2021_00006,0.9235232,0.9722757,0.9719525,0.9559171
BraTS2021_00014,0.4974343,0.506148,0.8156246,0.6064023
BraTS2021_00028,0.7811753,0.83053255,0.7862723,0.7993267
BraTS2021_00054,0.7635602,0.8469136,0.8961309,0.8355349
BraTS2021_00061,0.7234994,0.8743713,0.80628806,0.8013863
BraTS2021_00077,0.9471878,0.97591543,0.9480755,0.95705956
BraTS2021_00084,0.87632394,0.9040259,0.92188203,0.90074396
BraTS2021_00089,0.9656251,0.97745776,0.9551471,0.9660766
BraTS2021_00095,0.9104465,0.97748244,0.9712001,0.953043
BraTS2021_00098,0.41131523,0.51484627,0.67071307,0.53229153
BraTS2021_00102,0.5463674,0.5334773,0.7832238,0.6210229
BraTS2021_00108,0.6920635,0.47057447,0.870913,0.6778503
BraTS2021_00112,0.4851818,0.57478994,0.90836495,0.65611225
BraTS2021_00115,0.93462247,0.96977717,0.96526337,0.95655435
BraTS2021_00117,0.70249116,0.74444145,0.91622156,0.78771806
BraTS2021_00121,0.9528065,0.96620214,0.9270884,0.948699
BraTS2021_00123,0.93912935,0.96729976,0.9352686,0.94723254
BraTS2021_00124,0.48513925,0.9667512,0.8331368,0.7616758
BraTS2021_00154,0.7700702,0.8918831,0.9418457,0.867933
BraTS2021_00166,0.9415526,0.9598092,0.96219903,0.9545202
BraTS2021_00177,0.93791187,0.97964066,0.97270536,0.96341926
BraTS2021_00201,0.9056666,0.9613823,0.9727975,0.9466155
BraTS2021_00217,0.9745549,0.97879183,0.9676744,0.97367364
BraTS2021_00219,0.9666793,0.97448504,0.9075381,0.9495675
BraTS2021_00230,0.86931777,0.96088135,0.9540782,0.9280925
BraTS2021_00236,0.92470986,0.9509606,0.93516606,0.9369455
BraTS2021_00247,0.93301606,0.9458871,0.9616669,0.9468567
BraTS2021_00261,0.9599976,0.9861539,0.967805,0.9713189
BraTS2021_00266,0.92895365,0.97024494,0.9712381,0.9568122
BraTS2021_00269,0.9431731,0.9661563,0.9697523,0.9596939
BraTS2021_00270,0.9429388,0.94331825,0.8412957,0.9091843
BraTS2021_00271,0.9288308,0.9091183,0.9728309,0.93692666
BraTS2021_00273,0.9235537,0.9665253,0.9643584,0.95147914
BraTS2021_00284,0.7147277,0.7429664,0.79642516,0.75137305
BraTS2021_00294,0.87091064,0.9291534,0.9774224,0.9258289
BraTS2021_00297,0.7859187,0.91349447,0.9144113,0.87127477
BraTS2021_00317,0.967852,0.9786724,0.9758563,0.9741269
BraTS2021_00320,0.79366344,0.91902095,0.8318082,0.84816426
BraTS2021_00331,0.14528593,0.015210106,0.66138184,0.2739593
BraTS2021_00347,0.9239141,0.9749912,0.9703667,0.956424
BraTS2021_00359,0.9604763,0.97220874,0.9708681,0.967851
BraTS2021_00378,0.8501469,0.8691706,0.9285067,0.882608
BraTS2021_00392,0.9671326,0.9844442,0.9717622,0.9744463
BraTS2021_00403,0.95759445,0.9791032,0.9559181,0.96420527
BraTS2021_00410,0.9536374,0.97199535,0.8947348,0.94012254
BraTS2021_00414,0.80435777,0.9375032,0.9685141,0.90345836
BraTS2021_00426,0.96886957,0.98097867,0.97635067,0.9753997
BraTS2021_00445,0.9511244,0.962244,0.969423,0.9609305
BraTS2021_00451,0.93455255,0.9644723,0.96611804,0.9550476
BraTS2021_00453,0.94233096,0.96106225,0.97726935,0.9602209
BraTS2021_00455,0.9584909,0.9718095,0.97635573,0.9688854
BraTS2021_00457,0.923108,0.9727266,0.9365682,0.94413424
BraTS2021_00472,0.8176101,0.92885756,0.918572,0.8883465
BraTS2021_00488,0.8892136,0.9544287,0.90531033,0.9163175
BraTS2021_00493,0.8625649,0.8055892,0.1783972,0.6155171
BraTS2021_00501,0.8152956,0.8746141,0.75920534,0.8163717
BraTS2021_00517,0.94819945,0.9567119,0.94420195,0.9497044
BraTS2021_00524,0.8654216,0.96490836,0.9311116,0.9204805
BraTS2021_00526,0.8825905,0.9639553,0.941699,0.9294149
BraTS2021_00547,0.91675025,0.9721662,0.94870746,0.9458747
BraTS2021_00554,0.9365317,0.9849255,0.9455717,0.9556763
BraTS2021_00559,0.8911895,0.94898504,0.75298923,0.8643879
BraTS2021_00570,0.8517105,0.89792955,0.9037705,0.88447016
BraTS2021_00584,0.93168336,0.93966764,0.8188933,0.89674807
BraTS2021_00599,0.9449055,0.96770746,0.9680001,0.96020436
BraTS2021_00626,0.9338197,0.9513583,0.9463926,0.9438569
BraTS2021_00628,0.9045172,0.9186414,0.9311082,0.9180889
BraTS2021_00638,0.8817293,0.8870753,0.7667172,0.8451739
BraTS2021_00640,0.8555195,0.94886166,0.8954968,0.8999593
BraTS2021_00641,0.9528074,0.9839954,0.938494,0.95843226
BraTS2021_00642,0.9133843,0.9563052,0.8181621,0.8959505
BraTS2021_00656,0.68129796,0.15260419,0.93700284,0.5903017
BraTS2021_00680,0.93198496,0.9454031,0.9345035,0.93729717
BraTS2021_00687,0.9081891,0.945694,0.950885,0.9349227
BraTS2021_00723,0.9051186,0.95515126,0.95643586,0.9389019
BraTS2021_00724,0.91046363,0.96340185,0.96221817,0.9453612
