filename,class0,class1,class2,mean
BraTS2021_00006,0.07621746,0.10338645,0.14842355,0.109342486
BraTS2021_00014,0.12461851,0.15004206,0.13791566,0.1375254
BraTS2021_00028,0.052915715,0.019257594,0.28875366,0.120308995
BraTS2021_00054,0.11893161,0.2715665,0.06619296,0.15223035
BraTS2021_00061,0.15774913,0.29717284,0.19474737,0.21655644
BraTS2021_00077,0.07404429,0.054705907,0.11183219,0.08019412
BraTS2021_00084,0.099696316,0.14009264,0.23030563,0.15669818
BraTS2021_00089,0.048407864,0.036571484,0.2520894,0.11235625
BraTS2021_00095,0.02723056,0.06806874,0.0324299,0.042576402
BraTS2021_00098,0.19480497,0.28086457,0.09410477,0.18992476
BraTS2021_00102,0.29220468,0.2771915,0.32746786,0.29895467
BraTS2021_00108,0.2506238,0.10359824,0.036705215,0.13030909
BraTS2021_00112,0.20984069,0.033715818,0.11074996,0.118102156
BraTS2021_00115,0.025140846,0.031416364,0.12354003,0.060032412
BraTS2021_00117,0.13367441,0.07321783,0.18857047,0.1318209
BraTS2021_00121,0.17760833,0.2477713,0.1979955,0.2077917
BraTS2021_00123,0.092839986,0.03820682,0.090560466,0.07386909
BraTS2021_00124,0.31343883,0.21666297,0.29945797,0.27651992
BraTS2021_00154,0.2132,0.090423845,0.106865905,0.13682993
BraTS2021_00166,0.21087027,0.2386961,0.1350818,0.1948827
BraTS2021_00177,0.11967862,0.0980774,0.020432064,0.07939603
BraTS2021_00201,0.035839558,0.03987415,0.025458444,0.03372405
BraTS2021_00217,0.04779918,0.20334764,0.025138369,0.09209507
BraTS2021_00219,0.12945382,0.16533852,0.29181463,0.19553566
BraTS2021_00230,0.06080609,0.046076328,0.12269278,0.07652506
BraTS2021_00236,0.033587232,0.013972002,0.047083754,0.031547662
BraTS2021_00247,0.101467215,0.18190174,0.02939487,0.1042546
BraTS2021_00261,0.057652343,0.04353591,0.035188243,0.045458835
BraTS2021_00266,0.015351023,0.01473931,0.036986955,0.022359096
BraTS2021_00269,0.062218826,0.089153126,0.1300436,0.09380519
BraTS2021_00270,0.30920964,0.31738466,0.08747723,0.23802383
BraTS2021_00271,0.12978998,0.1356034,0.035059102,0.10015082
BraTS2021_00273,0.04298866,0.07481335,0.07095258,0.06291819
BraTS2021_00284,0.28278583,0.19638342,0.09477814,0.19131579
BraTS2021_00294,0.11047842,0.16412628,0.06146741,0.11202404
BraTS2021_00297,0.264996,0.27854854,0.076274365,0.20660631
BraTS2021_00317,0.121602856,0.16136633,0.11936519,0.13411145
BraTS2021_00320,0.22110704,0.029443275,0.1470695,0.13253993
BraTS2021_00331,0.34197927,0.5013526,0.20640509,0.34991232
BraTS2021_00347,0.04614234,0.045062684,0.00829967,0.03316823
BraTS2021_00359,0.064725086,0.09922045,0.15871821,0.10755458
BraTS2021_00378,0.12231378,0.12003243,0.03667675,0.093007654
BraTS2021_00392,0.03498774,0.12927599,0.034234613,0.06616611
BraTS2021_00403,0.08531847,0.1840516,0.14990728,0.13975912
BraTS2021_00410,0.04721437,0.0475083,0.0387037,0.044475455
BraTS2021_00414,0.030669263,0.14140353,0.031975318,0.06801603
BraTS2021_00426,0.037542347,0.021442588,0.021665057,0.026883332
BraTS2021_00445,0.11700304,0.14574632,0.09085242,0.11786726
BraTS2021_00451,0.08318373,0.080801114,0.026924282,0.06363637
BraTS2021_00453,0.039076313,0.074661,0.060964275,0.05823386
BraTS2021_00455,0.13764437,0.18375221,0.032921117,0.118105896
BraTS2021_00457,0.112992786,0.023323763,0.030495668,0.055604074
BraTS2021_00472,0.06445487,0.08407495,0.057050638,0.06852683
BraTS2021_00488,0.027318621,0.050522514,0.020953357,0.032931495
BraTS2021_00493,0.26869303,0.34220535,0.4090496,0.33998266
BraTS2021_00501,0.25231105,0.37376118,0.25815144,0.29474124
BraTS2021_00517,0.09028654,0.11142032,0.073285714,0.091664195
BraTS2021_00524,0.03226167,0.048338197,0.035444014,0.038681295
BraTS2021_00526,0.052453972,0.03435996,0.07990885,0.055574257
BraTS2021_00547,0.03295839,0.07598655,0.039849784,0.049598243
BraTS2021_00554,0.07857948,0.13953654,0.06101014,0.09304205
BraTS2021_00559,0.08398821,0.018617015,0.124144875,0.07558337
BraTS2021_00570,0.16433087,0.22585253,0.1546199,0.18160109
BraTS2021_00584,0.04307897,0.050278902,0.2873215,0.12689312
BraTS2021_00599,0.030428011,0.033561848,0.04721791,0.037069257
BraTS2021_00626,0.06834374,0.07110921,0.062444292,0.06729909
BraTS2021_00628,0.15668869,0.14116566,0.119557045,0.13913713
BraTS2021_00638,0.21465921,0.2552773,0.20428626,0.22474092
BraTS2021_00640,0.028981114,0.116288185,0.15526867,0.10017932
BraTS2021_00641,0.014805759,0.14694723,0.3633961,0.1750497
BraTS2021_00642,0.10664604,0.16231802,0.38336065,0.21744156
BraTS2021_00656,0.335579,0.44414502,0.12077947,0.30016783
BraTS2021_00680,0.17557037,0.2108841,0.023628209,0.13669422
BraTS2021_00687,0.023443643,0.06114558,0.12085228,0.0684805
BraTS2021_00723,0.08718792,0.05987512,0.14931321,0.09879208
BraTS2021_00724,0.035320163,0.045868848,0.08276194,0.054650318
BraTS2021_00727,0.061134893,0.059345286,0.024029667,0.048169952
BraTS2021_00729,0.07984157,0.09888884,0.19734469,0.12535836
BraTS2021_00732,0.16203043,0.17361537,0.38830146,0.24131577
BraTS2021_00742,0.042896103,0.082869664,0.061846692,0.062537484
BraTS2021_00753,0.20622356,0.21050759,0.27961522,0.23211546
BraTS2021_00756,0.035034187,0.03445007,0.08221586,0.050566703
BraTS2021_00765,0.06258203,0.106839836,0.078448564,0.082623474
BraTS2021_00788,0.060971867,0.059296064,0.17920692,0.09982494
BraTS2021_00795,0.09052518,0.12394522,0.018934144,0.07780152
BraTS2021_00799,0.010419727,0.032020606,0.09041002,0.04428345
BraTS2021_00802,0.122552894,0.15437171,0.24681163,0.17457874
BraTS2021_00809,0.023874687,0.09065578,0.04482702,0.053119164
BraTS2021_00816,0.11393964,0.05353201,0.023440283,0.06363731
BraTS2021_00840,0.05870267,0.0922475,0.06360909,0.071519755
BraTS2021_00999,0.27483958,0.31004962,0.0641254,0.2163382
BraTS2021_01001,0.12809344,0.14390497,0.025508368,0.09916893
BraTS2021_01005,0.031774174,0.08036317,0.19041166,0.100849666
BraTS2021_01007,0.15075481,0.14920329,0.07162298,0.12386036
BraTS2021_01008,0.028501699,0.04092293,0.052543152,0.040655926
BraTS2021_01016,0.05699549,0.035546586,0.16903035,0.08719081
BraTS2021_01019,0.035614062,0.15110873,0.040601123,0.07577463
BraTS2021_01020,0.039856993,0.14480741,0.025980104,0.07021483
BraTS2021_01026,0.04526425,0.06071626,0.021635767,0.042538762
BraTS2021_01028,0.096696824,0.07096621,0.077719726,0.081794254
BraTS2021_01052,0.038412444,0.0865293,0.01874817,0.04789664
BraTS2021_01057,0.119568095,0.10885819,0.0574844,0.09530356
BraTS2021_01059,0.1704613,0.17984441,0.046806198,0.13237064
BraTS2021_01064,0.2868609,0.27384612,0.16509858,0.24193521
BraTS2021_01077,0.34266204,0.35163903,0.1471009,0.2804673
BraTS2021_01078,0.021776062,0.14208369,0.15307468,0.105644815
BraTS2021_01080,0.04777976,0.037449222,0.075227246,0.05348541
BraTS2021_01088,0.092654966,0.12969834,0.023583809,0.081979044
BraTS2021_01091,0.2867202,0.31253836,0.060570072,0.21994287
BraTS2021_01107,0.12911014,0.1582447,0.078804955,0.122053266
BraTS2021_01115,0.026900023,0.15174314,0.12125609,0.099966414
BraTS2021_01126,0.06502156,0.18113507,0.07354929,0.10656864
BraTS2021_01129,0.07052828,0.03321323,0.03716194,0.046967816
BraTS2021_01130,0.07667398,0.041485053,0.024012234,0.04739042
BraTS2021_01131,0.04993217,0.081858024,0.11329947,0.08169655
BraTS2021_01142,0.20686749,0.1348407,0.23595461,0.19255428
BraTS2021_01153,0.076533735,0.1572164,0.02969155,0.08781389
BraTS2021_01154,0.10016801,0.11977713,0.20006399,0.14000304
BraTS2021_01170,0.27624407,0.31343746,0.10460453,0.23142868
BraTS2021_01176,0.42075878,0.11614046,0.09273301,0.20987743
BraTS2021_01182,0.41795823,0.44289902,0.15422554,0.33836094
BraTS2021_01203,0.038118348,0.09620832,0.055124212,0.063150294
BraTS2021_01206,0.19673572,0.03751252,0.10141051,0.111886255
BraTS2021_01212,0.097638726,0.116224766,0.154825,0.122896165
BraTS2021_01222,0.37535653,0.118099354,0.097345285,0.19693373
BraTS2021_01225,0.1874057,0.14535138,0.09987844,0.14421184
BraTS2021_01255,0.28788993,0.29349846,0.1816338,0.25434074
BraTS2021_01256,0.08888446,0.05316993,0.06630702,0.0694538
BraTS2021_01258,0.061547793,0.06362957,0.031376828,0.052184727
BraTS2021_01262,0.13346323,0.060548536,0.23995957,0.14465712
BraTS2021_01263,0.20461473,0.096033975,0.08559968,0.12874946
BraTS2021_01286,0.16332501,0.24823642,0.03388986,0.14848377
BraTS2021_01293,0.21595314,0.274287,0.14467384,0.21163799
BraTS2021_01295,0.03460776,0.046912976,0.07806118,0.05319397
BraTS2021_01301,0.16927335,0.14179888,0.21886459,0.17664559
BraTS2021_01302,0.10666543,0.05944272,0.09414363,0.0867506
BraTS2021_01303,0.059232056,0.018583734,0.19006945,0.08929508
BraTS2021_01306,0.28473598,0.23837166,0.102260076,0.2084559
BraTS2021_01307,0.046876185,0.038985927,0.07735996,0.05440736
BraTS2021_01317,0.028312724,0.124457836,0.0658773,0.07288262
BraTS2021_01326,0.14475754,0.17724334,0.049898703,0.12396652
BraTS2021_01329,0.07655285,0.17808169,0.04880061,0.10114506
BraTS2021_01333,0.22047397,0.23417978,0.40774876,0.2874675
BraTS2021_01335,0.04932604,0.040570952,0.07723598,0.05571099
BraTS2021_01336,0.024922995,0.055716496,0.03653777,0.039059088
BraTS2021_01340,0.05275775,0.081815995,0.04922285,0.06126553
BraTS2021_01345,0.024052132,0.09725045,0.1818578,0.101053454
BraTS2021_01346,0.05334382,0.09302716,0.05827096,0.06821398
BraTS2021_01353,0.014248828,0.043787144,0.03393782,0.030657932
BraTS2021_01354,0.038861644,0.05803001,0.049501263,0.048797637
BraTS2021_01356,0.072957516,0.23421025,0.23503903,0.18073559
BraTS2021_01357,0.0455566,0.058522154,0.031386636,0.045155127
BraTS2021_01360,0.058729302,0.22095904,0.07720349,0.118963934
BraTS2021_01364,0.09267521,0.08542906,0.100725845,0.09294337
BraTS2021_01365,0.074122116,0.09843717,0.10411298,0.09222409
BraTS2021_01373,0.066710874,0.030705187,0.049757145,0.049057733
BraTS2021_01388,0.08142215,0.08188309,0.050431527,0.07124559
BraTS2021_01390,0.04602362,0.10795834,0.14189196,0.09862464
BraTS2021_01398,0.12832713,0.13825686,0.022759851,0.096447945
BraTS2021_01406,0.06872936,0.034238648,0.083620325,0.06219611
BraTS2021_01410,0.043935962,0.046602666,0.116770364,0.069102995
BraTS2021_01415,0.078066215,0.09038298,0.10414018,0.09086313
BraTS2021_01416,0.14263971,0.09059193,0.07070417,0.10131193
BraTS2021_01417,0.04845343,0.06147811,0.13010421,0.08001192
BraTS2021_01432,0.113339886,0.17532949,0.06000672,0.11622536
BraTS2021_01444,0.04802478,0.108390346,0.20006736,0.1188275
BraTS2021_01450,0.28489223,0.27791023,0.09672364,0.21984202
BraTS2021_01460,0.26923513,0.20794849,0.081936255,0.1863733
BraTS2021_01464,0.15217404,0.24596009,0.25227302,0.21680237
BraTS2021_01468,0.20826498,0.14531974,0.1834832,0.17902263
BraTS2021_01470,0.19340034,0.2408084,0.08305198,0.17242025
BraTS2021_01475,0.017888108,0.16038948,0.062135577,0.08013772
BraTS2021_01480,0.29445282,0.14971627,0.047229856,0.16379966
