filename,class0,class1,class2,mean
BraTS2021_00006,0.9153198,0.97203285,0.95669854,0.9480171
BraTS2021_00014,0.75486237,0.7599019,0.8330873,0.7826173
BraTS2021_00028,0.778264,0.8342329,0.7130564,0.7751844
BraTS2021_00054,0.74630636,0.85914403,0.8984496,0.83463335
BraTS2021_00061,0.45937535,0.49676955,0.6599418,0.5386956
BraTS2021_00077,0.9282894,0.9671158,0.9428125,0.9460726
BraTS2021_00084,0.851856,0.86822337,0.8645318,0.86153704
BraTS2021_00089,0.9412815,0.9650534,0.8844628,0.9302659
BraTS2021_00095,0.89661473,0.97309655,0.95973665,0.9431493
BraTS2021_00098,0.41727003,0.5299538,0.6329821,0.5267353
BraTS2021_00102,0.4748546,0.45648205,0.5275559,0.48629752
BraTS2021_00108,0.358,0.35227805,0.8764439,0.5289073
BraTS2021_00112,0.7695141,0.7690261,0.8247449,0.7877617
BraTS2021_00115,0.9147733,0.9643003,0.9545193,0.94453096
BraTS2021_00117,0.47530445,0.47429508,0.8608918,0.6034971
BraTS2021_00121,0.93394417,0.9451602,0.90282285,0.92730904
BraTS2021_00123,0.9387395,0.96446306,0.90165126,0.9349513
BraTS2021_00124,0.55889326,0.7582603,0.8637012,0.7269516
BraTS2021_00154,0.75555056,0.89710045,0.9339872,0.8622127
BraTS2021_00166,0.877301,0.9067047,0.94536287,0.9097895
BraTS2021_00177,0.88386804,0.9633763,0.94940096,0.93221503
BraTS2021_00201,0.8373952,0.9212308,0.9449592,0.90119505
BraTS2021_00217,0.9619311,0.9232558,0.95178795,0.94565827
BraTS2021_00219,0.92195976,0.9318985,0.81893307,0.8909304
BraTS2021_00230,0.8367977,0.9514075,0.94319266,0.91046596
BraTS2021_00236,0.90515566,0.93758714,0.91380984,0.9188509
BraTS2021_00247,0.89536667,0.90270746,0.94519657,0.9144235
BraTS2021_00261,0.93234086,0.9727648,0.9422835,0.94912976
BraTS2021_00266,0.8763214,0.9472499,0.9544394,0.9260035
BraTS2021_00269,0.9146703,0.9501046,0.94853103,0.93776864
BraTS2021_00270,0.8798386,0.87568456,0.7906918,0.8487384
BraTS2021_00271,0.9080144,0.8979283,0.95962936,0.92185736
BraTS2021_00273,0.8871352,0.952379,0.93636686,0.9252937
