filename,class0,class1,class2,mean
BraTS2021_00006,0.0019354827,0.0024564655,0.0055760574,0.0033226684
BraTS2021_00014,0.001816474,0.0023281071,0.005938177,0.0033609194
BraTS2021_00028,0.0021863931,0.002746592,0.008592906,0.004508631
BraTS2021_00054,0.0016935576,0.0034196132,0.0054081236,0.0035070982
BraTS2021_00061,0.0018564267,0.0024619354,0.0068120025,0.0037101216
BraTS2021_00077,0.0021493428,0.0025152885,0.0056447852,0.0034364723
BraTS2021_00084,0.0020332516,0.002775287,0.0074685016,0.004092347
BraTS2021_00089,0.0018449114,0.002295745,0.0065511246,0.0035639268
BraTS2021_00095,0.0023150689,0.002831515,0.0052981493,0.0034815774
BraTS2021_00098,0.0011635873,0.0014302152,0.0038802875,0.00215803
BraTS2021_00102,0.0017187515,0.00221728,0.0076613445,0.0038657922
BraTS2021_00108,0.0015247995,0.0025642714,0.0061057247,0.003398265
BraTS2021_00112,0.0021466594,0.00218433,0.0057464982,0.0033591625
BraTS2021_00115,0.0020498857,0.0024114463,0.005969735,0.0034770223
BraTS2021_00117,0.0016601061,0.0021272365,0.0066047083,0.003464017
BraTS2021_00121,0.0019524079,0.0025962063,0.006501342,0.0036833186
BraTS2021_00123,0.002472849,0.0029271161,0.005698846,0.0036996037
BraTS2021_00124,0.0060080523,0.004822323,0.0066903667,0.0058402475
BraTS2021_00154,0.0023634413,0.002421665,0.0061142645,0.0036331236
BraTS2021_00166,0.0025483917,0.003240235,0.006474532,0.0040877196
BraTS2021_00177,0.002383248,0.0026822172,0.005528642,0.0035313691
BraTS2021_00201,0.0022053341,0.0024185525,0.0054999166,0.003374601
BraTS2021_00217,0.0019070301,0.003124451,0.005870775,0.0036340852
BraTS2021_00219,0.0020109124,0.0026087407,0.0070222714,0.0038806417
BraTS2021_00230,0.0020509404,0.00267069,0.0067651793,0.0038289365
BraTS2021_00236,0.002040802,0.0025060007,0.0067072213,0.0037513413
BraTS2021_00247,0.0025523312,0.0034695335,0.006537693,0.004186519
BraTS2021_00261,0.0018332521,0.002179519,0.0051542316,0.0030556675
BraTS2021_00266,0.002371384,0.0029355283,0.0064212694,0.003909394
BraTS2021_00269,0.0018261625,0.002215249,0.005976719,0.003339377
BraTS2021_00270,0.0020677387,0.0026674613,0.0064465087,0.003727236
BraTS2021_00271,0.0022646864,0.0027298005,0.006043627,0.0036793712
BraTS2021_00273,0.0024340458,0.0028937196,0.0060345232,0.0037874293
BraTS2021_00284,0.002036195,0.0026212386,0.0067744134,0.0038106155
BraTS2021_00294,0.0018437977,0.0025826057,0.0049237567,0.0031167201
BraTS2021_00297,0.0028137716,0.0034008415,0.0060816826,0.004098765
BraTS2021_00317,0.0017342254,0.0022653008,0.0053175874,0.0031057044
BraTS2021_00320,0.0018552509,0.002263605,0.006198451,0.0034391023
BraTS2021_00331,0.0018699286,0.0026793114,0.0063161086,0.0036217829
BraTS2021_00347,0.0020770296,0.0025321958,0.005803878,0.0034710343
BraTS2021_00359,0.0021484855,0.0028019461,0.006730325,0.0038935856
BraTS2021_00378,0.0020693666,0.0027056253,0.0063744453,0.003716479
BraTS2021_00392,0.0023599365,0.0029904742,0.0070043593,0.0041182567
BraTS2021_00403,0.0018867061,0.0023809045,0.0059503876,0.0034059994
BraTS2021_00410,0.0023179199,0.0029716713,0.006410124,0.003899905
BraTS2021_00414,0.0023562477,0.0030995437,0.005467138,0.0036409765
BraTS2021_00426,0.0022328794,0.0027869034,0.005969267,0.0036630165
BraTS2021_00445,0.0020801076,0.0027314252,0.005744194,0.0035185758
BraTS2021_00451,0.0029357031,0.0030265576,0.0057865973,0.003916286
BraTS2021_00453,0.0021190946,0.0026438073,0.006251914,0.0036716051
BraTS2021_00455,0.00219471,0.0029815244,0.005830107,0.0036687804
BraTS2021_00457,0.0021632388,0.0026554982,0.006213633,0.0036774566
BraTS2021_00472,0.0018011866,0.002225752,0.0051800637,0.003069001
BraTS2021_00488,0.0018163174,0.0022571106,0.0055100815,0.0031945033
BraTS2021_00493,0.0025696326,0.003878761,0.01387724,0.0067752115
BraTS2021_00501,0.0028749125,0.0049228147,0.008377646,0.0053917915
BraTS2021_00517,0.0021216928,0.0028313892,0.006591577,0.0038482195
BraTS2021_00524,0.0017858666,0.0022578428,0.005282116,0.0031086085
BraTS2021_00526,0.0018078592,0.0024901573,0.00503688,0.0031116318
BraTS2021_00547,0.0016763192,0.0021412512,0.005938939,0.0032521698
BraTS2021_00554,0.002060392,0.0026069754,0.005818598,0.0034953218
BraTS2021_00559,0.002563263,0.0026439012,0.004069527,0.0030922305
BraTS2021_00570,0.0028940912,0.003945403,0.009304359,0.0053812843
BraTS2021_00584,0.0016649072,0.0020890615,0.006699912,0.003484627
BraTS2021_00599,0.0021016519,0.0027595372,0.0058594774,0.0035735555
BraTS2021_00626,0.0014239694,0.0017818934,0.005541392,0.002915752
BraTS2021_00628,0.0017680437,0.0022876388,0.005968612,0.0033414315
BraTS2021_00638,0.002501046,0.0034099917,0.007149175,0.004353404
BraTS2021_00640,0.0023693847,0.0027616494,0.0066900724,0.0039403685
BraTS2021_00641,0.0017377757,0.0021337562,0.0070297495,0.0036337606
BraTS2021_00642,0.001905875,0.0025110813,0.010104157,0.004840371
BraTS2021_00656,0.0017988685,0.0069889715,0.0063161296,0.0050346567
BraTS2021_00680,0.0024234364,0.0029954147,0.0072814426,0.004233431
BraTS2021_00687,0.0017712117,0.0021742608,0.0054898467,0.0031451064
BraTS2021_00723,0.0021428938,0.002519182,0.006538162,0.0037334126
BraTS2021_00724,0.001964228,0.0024025962,0.0053241462,0.0032303233
BraTS2021_00727,0.0017216186,0.0021322789,0.0053925817,0.00308216
BraTS2021_00729,0.0018400544,0.0023565264,0.0065430873,0.0035798894
BraTS2021_00732,0.0018844563,0.0024199758,0.007430376,0.003911603
BraTS2021_00742,0.001921851,0.0026723035,0.0049058017,0.003166652
BraTS2021_00753,0.0015520493,0.0020593689,0.0067976485,0.0034696888
BraTS2021_00756,0.0021756405,0.0025020055,0.0050003,0.003225982
BraTS2021_00765,0.0017965835,0.002548035,0.0056465063,0.0033303748
BraTS2021_00788,0.0017277927,0.002199981,0.0057987995,0.003242191
BraTS2021_00795,0.001461377,0.0017698291,0.0049173087,0.0027161716
BraTS2021_00799,0.002236109,0.0024457413,0.006068864,0.0035835716
BraTS2021_00802,0.0018227075,0.0023438446,0.0070363437,0.0037342987
BraTS2021_00809,0.0020089243,0.0024653496,0.005673685,0.003382653
BraTS2021_00816,0.0022221354,0.0026332822,0.0051264917,0.0033273033
BraTS2021_00840,0.0020551602,0.0023797138,0.0069100223,0.0037816323
BraTS2021_00999,0.0028259123,0.005071391,0.0039989515,0.0039654183
BraTS2021_01001,0.0018321591,0.002385996,0.0059391214,0.0033857587
BraTS2021_01005,0.0020421676,0.0025613487,0.005730978,0.0034448316
BraTS2021_01007,0.0017573189,0.0021115735,0.0056016836,0.0031568587
BraTS2021_01008,0.0022528644,0.0029126657,0.0070235394,0.0040630233
BraTS2021_01016,0.0020495201,0.0023837644,0.0060739703,0.0035024183
BraTS2021_01019,0.0021674167,0.0024294357,0.0048978073,0.0031648867
BraTS2021_01020,0.002184192,0.0028500766,0.0059503815,0.0036615499
BraTS2021_01026,0.0019024522,0.002535719,0.0050215507,0.0031532405
BraTS2021_01028,0.0018505118,0.0023406309,0.006075587,0.0034222433
BraTS2021_01052,0.0022927513,0.00295045,0.006779962,0.0040077213
BraTS2021_01057,0.002016012,0.002606474,0.006434779,0.003685755
BraTS2021_01059,0.002125793,0.0026589802,0.005606347,0.0034637067
BraTS2021_01064,0.0017893655,0.0023913314,0.0073617944,0.0038474973
BraTS2021_01077,0.002066138,0.0026586866,0.0071818503,0.0039688917
BraTS2021_01078,0.0021201838,0.0029512967,0.0062360596,0.00376918
BraTS2021_01080,0.0025546548,0.003098555,0.007296058,0.0043164226
BraTS2021_01088,0.0020381869,0.0026251043,0.006616886,0.0037600591
BraTS2021_01091,0.002048422,0.002621494,0.0066626132,0.0037775096
BraTS2021_01107,0.0016033575,0.002216939,0.0059919767,0.0032707576
BraTS2021_01115,0.0024429455,0.0031260764,0.006657394,0.004075472
BraTS2021_01126,0.0019981388,0.002177649,0.0053138807,0.003163223
BraTS2021_01129,0.0018068665,0.002228767,0.0052888314,0.003108155
BraTS2021_01130,0.002073058,0.0026822493,0.0061085,0.003621269
BraTS2021_01131,0.0020583677,0.0026934198,0.0067044683,0.003818752
BraTS2021_01142,0.0029739519,0.0027702865,0.0075275544,0.004423931
BraTS2021_01153,0.0020533411,0.0024684118,0.004619629,0.0030471273
BraTS2021_01154,0.0018304338,0.0023548324,0.0065351194,0.0035734617
BraTS2021_01170,0.0034633675,0.0047476627,0.007986492,0.0053991736
BraTS2021_01176,0.0029704,0.0041929046,0.009219787,0.005461031
BraTS2021_01182,0.0023036993,0.0035210652,0.007262847,0.004362537
BraTS2021_01203,0.0022845776,0.0030865916,0.0065080137,0.003959728
BraTS2021_01206,0.0028236273,0.0026360939,0.005682135,0.0037139521
BraTS2021_01212,0.0019590824,0.0024849935,0.005997488,0.0034805213
BraTS2021_01222,0.0027285935,0.0032287077,0.007863549,0.0046069496
BraTS2021_01225,0.0024403075,0.0029001124,0.005854417,0.003731612
BraTS2021_01255,0.0018978331,0.0024277943,0.006910213,0.0037452802
BraTS2021_01256,0.0025039578,0.0028840292,0.0066726506,0.0040202127
BraTS2021_01258,0.00206621,0.002724699,0.0063199676,0.0037036252
BraTS2021_01262,0.002415933,0.0029089937,0.005966153,0.0037636932
BraTS2021_01263,0.0026564298,0.0027454041,0.0063469107,0.003916248
BraTS2021_01286,0.0023204144,0.0030467517,0.0061314465,0.003832871
BraTS2021_01293,0.0014467192,0.004227165,0.0043352665,0.0033363837
BraTS2021_01295,0.0018240951,0.0022341346,0.006169439,0.003409223
BraTS2021_01301,0.0016881657,0.002136418,0.006278578,0.0033677209
BraTS2021_01302,0.0026370606,0.0025951662,0.006096889,0.0037763722
BraTS2021_01303,0.0024494622,0.0031582941,0.0068923123,0.0041666892
BraTS2021_01306,0.0025393202,0.003148953,0.0073087406,0.004332338
BraTS2021_01307,0.0023098122,0.002848363,0.00584112,0.0036664319
BraTS2021_01317,0.0019755717,0.0023755445,0.0052540917,0.0032017361
BraTS2021_01326,0.0023373684,0.0030043966,0.005954048,0.003765271
BraTS2021_01329,0.0019847816,0.0023235446,0.00546386,0.0032573955
BraTS2021_01333,0.0018787384,0.0024577833,0.0075430633,0.003959862
BraTS2021_01335,0.0019560326,0.0026298743,0.006035593,0.0035404998
BraTS2021_01336,0.0021858634,0.0027763098,0.00663059,0.0038642546
BraTS2021_01340,0.0020724314,0.002667105,0.006346681,0.003695406
BraTS2021_01345,0.0019565192,0.0023698967,0.00668499,0.003670469
BraTS2021_01346,0.0020411068,0.002517714,0.005482319,0.0033470467
BraTS2021_01353,0.0018095422,0.00227862,0.0054749586,0.0031877067
BraTS2021_01354,0.0023366264,0.002975108,0.006484754,0.0039321627
BraTS2021_01356,0.0010460059,0.0019896128,0.005566783,0.002867467
BraTS2021_01357,0.0021930123,0.0027001118,0.005909071,0.0036007315
BraTS2021_01360,0.0025668396,0.003060332,0.0060184067,0.0038818594
BraTS2021_01364,0.0021676891,0.002836461,0.0053535267,0.0034525588
BraTS2021_01365,0.0016083266,0.002105408,0.0052422495,0.0029853282
BraTS2021_01373,0.0026191873,0.0033252453,0.0077088242,0.0045510856
BraTS2021_01388,0.0023679151,0.002882566,0.006471783,0.003907421
BraTS2021_01390,0.0023590862,0.003011031,0.0072055613,0.0041918927
BraTS2021_01398,0.0020165332,0.0025730063,0.0059428723,0.003510804
BraTS2021_01406,0.0024494748,0.0028769623,0.006279571,0.0038686693
BraTS2021_01410,0.0016884587,0.0019501199,0.0053132093,0.0029839294
BraTS2021_01415,0.0012203555,0.00156586,0.004587206,0.002457807
BraTS2021_01416,0.00249443,0.0019589774,0.0039768936,0.0028101003
BraTS2021_01417,0.0016270693,0.0020734945,0.0062596975,0.003320087
BraTS2021_01432,0.001802412,0.00530316,0.0040396405,0.0037150707
BraTS2021_01444,0.0020527097,0.0027037633,0.0060768835,0.0036111188
BraTS2021_01450,0.0020728754,0.002754546,0.0057998397,0.0035424202
BraTS2021_01460,0.0033037758,0.0030022974,0.005583842,0.003963305
BraTS2021_01464,0.0018648377,0.0023884838,0.0072406083,0.00383131
BraTS2021_01468,0.0025766375,0.0028998544,0.007452882,0.0043097916
BraTS2021_01470,0.001783838,0.0022752597,0.004976717,0.0030119382
BraTS2021_01475,0.0018158192,0.0030053838,0.004086041,0.0029690813
BraTS2021_01480,0.0020595994,0.0020309314,0.0060312822,0.0033739377
BraTS2021_01489,0.0019605898,0.002973805,0.00565233,0.0035289081
BraTS2021_01490,0.0016384883,0.0024471092,0.0051749237,0.0030868405
BraTS2021_01512,0.0021689348,0.0028059834,0.005168066,0.0033809945
BraTS2021_01530,0.0015970223,0.0012309509,0.0074813333,0.0034364357
BraTS2021_01532,0.0019841238,0.0048942775,0.0057590054,0.004212469
BraTS2021_01541,0.0018750232,0.0030167743,0.0055207997,0.0034708658
BraTS2021_01545,0.0016500725,0.002160336,0.0068297903,0.0035467327
BraTS2021_01547,0.0024709138,0.0031698248,0.0067365044,0.004125748
BraTS2021_01548,0.0017378002,0.0025115313,0.0058426075,0.0033639797
BraTS2021_01557,0.0014880282,0.0018662319,0.0056047174,0.0029863259
BraTS2021_01568,0.0018832999,0.002748183,0.004928939,0.0031868073
BraTS2021_01585,0.002041652,0.0026709004,0.0060727457,0.0035950996
BraTS2021_01612,0.002346296,0.0031593728,0.0072626234,0.0042560976
BraTS2021_01626,0.0017298685,0.0021758478,0.0057008113,0.0032021757
BraTS2021_01627,0.002522869,0.0028494932,0.0059150145,0.0037624587
BraTS2021_01635,0.0020279265,0.0023229294,0.006217246,0.0035227006
BraTS2021_01636,0.0029019688,0.0033512837,0.008550251,0.0049345014
BraTS2021_01640,0.002039736,0.0026089165,0.007290792,0.0039798147
BraTS2021_01642,0.0020385268,0.0025305504,0.0055827177,0.0033839315
BraTS2021_01643,0.0016462305,0.0021294078,0.0059657223,0.0032471202
BraTS2021_01644,0.0021538418,0.0027018671,0.0064337943,0.003763168
BraTS2021_01645,0.0017220515,0.0024405166,0.0046205707,0.002927713
BraTS2021_01646,0.0021469751,0.002904999,0.0075655845,0.0042058527
BraTS2021_01648,0.0021248395,0.0027237884,0.005976381,0.003608336
BraTS2021_01655,0.0016541166,0.0032060458,0.004858429,0.0032395304
BraTS2021_01658,0.0023537842,0.002727049,0.005155649,0.0034121608
BraTS2021_01659,0.0032799754,0.004035752,0.008351421,0.0052223825
