filename,class0,class1,class2,mean
BraTS2021_00006,0.9079261,0.97174114,0.9585719,0.94607973
BraTS2021_00014,0.7552785,0.7699497,0.8395044,0.78824425
BraTS2021_00028,0.7480993,0.83590686,0.7013101,0.7617721
BraTS2021_00054,0.7424305,0.8606563,0.89894885,0.83401185
BraTS2021_00061,0.43146548,0.4913267,0.66392523,0.5289058
BraTS2021_00077,0.9248826,0.9671625,0.9444512,0.94549876
BraTS2021_00084,0.85498303,0.8711998,0.8579181,0.861367
BraTS2021_00089,0.9388346,0.9647448,0.88217163,0.9285837
BraTS2021_00095,0.88963556,0.97322285,0.95828533,0.9403812
BraTS2021_00098,0.39047936,0.5281586,0.6428578,0.5204986
BraTS2021_00102,0.48129496,0.45547533,0.520769,0.48584643
BraTS2021_00108,0.33001277,0.33426574,0.87697697,0.5137518
BraTS2021_00112,0.7773869,0.7667356,0.83076775,0.7916301
BraTS2021_00115,0.9091265,0.96402824,0.95212376,0.9417595
BraTS2021_00117,0.46459076,0.47795227,0.8675661,0.6033697
BraTS2021_00121,0.9397804,0.9473657,0.89845926,0.92853516
BraTS2021_00123,0.93487936,0.9637611,0.90249795,0.9337128
BraTS2021_00124,0.56126136,0.76388526,0.87360626,0.7329176
BraTS2021_00154,0.76678944,0.896824,0.9333039,0.86563915
BraTS2021_00166,0.88737905,0.9084528,0.9419152,0.9125824
BraTS2021_00177,0.8698243,0.96209544,0.94936955,0.92709637
BraTS2021_00201,0.82735866,0.9213021,0.9438106,0.8974905
BraTS2021_00217,0.9599945,0.91899353,0.9505975,0.94319516
BraTS2021_00219,0.92741936,0.93215585,0.8054234,0.88833284
BraTS2021_00230,0.8329208,0.9504447,0.9408781,0.90808123
BraTS2021_00236,0.90267634,0.93679225,0.9132656,0.91757804
BraTS2021_00247,0.89910364,0.90128785,0.9436064,0.91466594
BraTS2021_00261,0.930721,0.97187257,0.9414311,0.94800824
BraTS2021_00266,0.8718621,0.9461199,0.95383424,0.92393875
BraTS2021_00269,0.9087066,0.94942045,0.94600844,0.9347119
BraTS2021_00270,0.8977945,0.88232046,0.78845793,0.8561909
BraTS2021_00271,0.8996925,0.9011038,0.9588513,0.91988254
BraTS2021_00273,0.8810829,0.9509188,0.9365721,0.92285794
BraTS2021_00284,0.7183725,0.6921637,0.72921807,0.7132514
BraTS2021_00294,0.8353997,0.9057484,0.96310145,0.90141654
BraTS2021_00297,0.7927928,0.910452,0.8967146,0.86665314
