filename,class0,class1,class2,mean
BraTS2021_00006,0.1836778,0.27879098,0.14598823,0.202819
BraTS2021_00014,0.71651715,0.72762007,0.15910614,0.53441447
BraTS2021_00028,0.216504,0.152037,0.49059498,0.28637865
BraTS2021_00054,0.267377,0.6164291,0.13828757,0.34069788
BraTS2021_00061,0.34046614,0.41398907,0.43439728,0.3962842
BraTS2021_00077,0.23312642,0.33005708,0.22819299,0.26379216
BraTS2021_00084,0.1638569,0.14927417,0.32054982,0.21122696
BraTS2021_00089,0.19576865,0.18750723,0.2810715,0.22144914
BraTS2021_00095,0.10881628,0.13081698,0.058153212,0.099262156
BraTS2021_00098,0.53126156,0.69414955,0.17472677,0.46671262
BraTS2021_00102,0.6307137,0.529284,0.54501164,0.5683364
BraTS2021_00108,0.47449344,0.84909636,0.27147305,0.5316876
BraTS2021_00112,0.6472858,0.38222346,0.17391983,0.40114304
BraTS2021_00115,0.17331494,0.35570368,0.1881578,0.23905881
BraTS2021_00117,0.39393592,0.49609503,0.17052722,0.3535194
BraTS2021_00121,0.24501371,0.27003974,0.2942328,0.26976207
BraTS2021_00123,0.31968302,0.4005552,0.15027076,0.29016966
BraTS2021_00124,0.7348214,0.47852263,0.5428187,0.5853875
BraTS2021_00154,0.51998967,0.27556983,0.2564953,0.35068497
BraTS2021_00166,0.23067641,0.2221505,0.28586653,0.24623115
BraTS2021_00177,0.10403455,0.25513032,0.093068,0.15074429
BraTS2021_00201,0.14981282,0.33610108,0.05741731,0.1811104
BraTS2021_00217,0.19554779,0.3406558,0.08250427,0.20623596
BraTS2021_00219,0.08955157,0.09028816,0.38349792,0.18777923
BraTS2021_00230,0.2331702,0.27728438,0.19362617,0.23469359
BraTS2021_00236,0.26827827,0.32193327,0.10386434,0.2313586
BraTS2021_00247,0.1978097,0.1700235,0.030835778,0.13288966
BraTS2021_00261,0.07971898,0.19491231,0.20526177,0.15996435
BraTS2021_00266,0.20312023,0.13649274,0.23692656,0.19217984
BraTS2021_00269,0.2132975,0.3854391,0.2410129,0.2799165
BraTS2021_00270,0.12110546,0.12228015,0.323213,0.18886621
BraTS2021_00271,0.36968446,0.48054594,0.054989517,0.30173996
BraTS2021_00273,0.11571872,0.115634926,0.05961126,0.0969883
BraTS2021_00284,0.61922777,0.5054462,0.3382335,0.48763582
BraTS2021_00294,0.21776175,0.16634902,0.16738266,0.18383114
BraTS2021_00297,0.62365705,0.61892235,0.19166839,0.47808263
BraTS2021_00317,0.17696565,0.16813064,0.20872414,0.1846068
BraTS2021_00320,0.56867296,0.2633964,0.41747698,0.41651547
BraTS2021_00331,0.72459173,0.60838985,0.4107593,0.581247
BraTS2021_00347,0.12126446,0.25952035,0.20555204,0.19544561
BraTS2021_00359,0.12904894,0.13119614,0.22133377,0.16052629
BraTS2021_00378,0.24743643,0.3710683,0.33917308,0.31922594
BraTS2021_00392,0.12849951,0.1498197,0.18815869,0.15549263
