filename,class0,class1,class2,mean
BraTS2021_00006,0.9182669,0.97056264,0.96509504,0.9513082
BraTS2021_00014,0.4274229,0.42402828,0.8518209,0.56775737
BraTS2021_00028,0.7967629,0.8482201,0.7472676,0.79741687
BraTS2021_00054,0.7505778,0.83961076,0.90775687,0.83264846
BraTS2021_00061,0.6652456,0.85888034,0.7104968,0.74487424
BraTS2021_00077,0.93624353,0.96690696,0.94525546,0.9494687
BraTS2021_00084,0.8673156,0.8925413,0.8741055,0.87798744
BraTS2021_00089,0.9584625,0.9731398,0.9255827,0.95239496
BraTS2021_00095,0.8928143,0.9718426,0.96246517,0.94237405
BraTS2021_00098,0.45246992,0.54055315,0.65988016,0.55096775
BraTS2021_00102,0.57617897,0.58335686,0.61687315,0.5921363
BraTS2021_00108,0.6286311,0.19653565,0.8473222,0.5574963
BraTS2021_00112,0.6798006,0.7359578,0.8805227,0.76542705
BraTS2021_00115,0.9180573,0.9604717,0.9481251,0.94221807
BraTS2021_00117,0.51859957,0.5195724,0.87136704,0.636513
BraTS2021_00121,0.95454293,0.962159,0.91527325,0.9439917
BraTS2021_00123,0.9380882,0.9632365,0.9202239,0.94051623
BraTS2021_00124,0.4739057,0.95468885,0.87591094,0.7681685
BraTS2021_00154,0.7488866,0.8864054,0.9350012,0.8567644
BraTS2021_00166,0.92807037,0.9498922,0.9465498,0.9415042
BraTS2021_00177,0.9183544,0.9718049,0.95631,0.94882315
BraTS2021_00201,0.88207567,0.9409548,0.9575107,0.92684704
BraTS2021_00217,0.9584493,0.9509977,0.96025604,0.9565677
BraTS2021_00219,0.9678575,0.9757051,0.87324643,0.9389363
BraTS2021_00230,0.8534309,0.95501775,0.94996357,0.9194708
BraTS2021_00236,0.9116603,0.9371141,0.9112454,0.9200066
BraTS2021_00247,0.92737895,0.9282487,0.9487467,0.9347914
BraTS2021_00261,0.95455086,0.98141295,0.9569126,0.9642921
BraTS2021_00266,0.91709137,0.9661001,0.95783925,0.9470102
BraTS2021_00269,0.92494476,0.94908464,0.95846266,0.94416404
BraTS2021_00270,0.94988066,0.94948655,0.77761847,0.89232856
BraTS2021_00271,0.9209838,0.90404654,0.9682345,0.93108827
BraTS2021_00273,0.9169208,0.9584247,0.950933,0.94209284
BraTS2021_00284,0.69859815,0.68596447,0.7221949,0.70225257
BraTS2021_00294,0.8796413,0.93845093,0.96822625,0.92877287
BraTS2021_00297,0.7824581,0.91536844,0.9040562,0.8672943
BraTS2021_00317,0.9660043,0.9730102,0.9582577,0.96575737
BraTS2021_00320,0.78579766,0.91076535,0.8142788,0.83694726
BraTS2021_00331,0.3149883,0.35897973,0.732974,0.46898067
BraTS2021_00347,0.9062794,0.96425,0.9487721,0.9397672
BraTS2021_00359,0.95621,0.9686755,0.95195735,0.95894766
BraTS2021_00378,0.85816693,0.8778472,0.8863479,0.8741207
BraTS2021_00392,0.9608624,0.9795876,0.9607324,0.9670608
BraTS2021_00403,0.9491512,0.9700653,0.9381015,0.9524393
BraTS2021_00410,0.94794554,0.96441364,0.8584081,0.92358905
BraTS2021_00414,0.7945104,0.9219101,0.95742965,0.89128333
BraTS2021_00426,0.96506256,0.9776431,0.9596594,0.96745497
BraTS2021_00445,0.9390978,0.95824695,0.9332567,0.94353384
BraTS2021_00451,0.9374459,0.96510243,0.9678784,0.95680887
BraTS2021_00453,0.92348886,0.9464393,0.9679143,0.94594747
BraTS2021_00455,0.9384419,0.9579169,0.9659084,0.954089
BraTS2021_00457,0.92397994,0.96856487,0.9419915,0.94484544
BraTS2021_00472,0.78611237,0.9104902,0.91857004,0.8717242
BraTS2021_00488,0.8755001,0.94289064,0.90436256,0.9075844
BraTS2021_00493,0.8585446,0.89470506,0.19708261,0.6501108
BraTS2021_00501,0.82914084,0.8543812,0.78571737,0.82307976
BraTS2021_00517,0.93935204,0.94462174,0.94360906,0.9425276
BraTS2021_00524,0.8545695,0.96506435,0.9224484,0.9140274
BraTS2021_00526,0.8729466,0.9599135,0.94080263,0.9245543
BraTS2021_00547,0.88592297,0.9543802,0.9343907,0.92489797
BraTS2021_00554,0.90792036,0.97543174,0.94305575,0.942136
BraTS2021_00559,0.89439005,0.95948815,0.7741353,0.8760045
BraTS2021_00570,0.84187174,0.9149663,0.8925458,0.883128
BraTS2021_00584,0.9479947,0.9505958,0.8657208,0.9214371
BraTS2021_00599,0.9386525,0.9622319,0.9580016,0.952962
BraTS2021_00626,0.9259802,0.93902725,0.9073407,0.9241161
BraTS2021_00628,0.9111391,0.92622256,0.89087343,0.90941167
BraTS2021_00638,0.8553948,0.859016,0.69328386,0.80256486
BraTS2021_00640,0.855117,0.94468504,0.8755582,0.89178675
BraTS2021_00641,0.9318236,0.9715655,0.8744976,0.9259622
BraTS2021_00642,0.9229771,0.96277547,0.7659225,0.88389164
BraTS2021_00656,0.58243674,0.18613335,0.92718846,0.56525284
BraTS2021_00680,0.9188477,0.9284469,0.9230018,0.9234321
BraTS2021_00687,0.8882019,0.93331105,0.9402936,0.92060214
BraTS2021_00723,0.8687983,0.9297641,0.9406204,0.91306096
BraTS2021_00724,0.902596,0.96066165,0.9471393,0.936799
BraTS2021_00727,0.77847004,0.9297779,0.94429123,0.8841798
BraTS2021_00729,0.93508774,0.96287864,0.8268916,0.90828604
BraTS2021_00732,0.86926556,0.8713813,0.7483239,0.8296569
BraTS2021_00742,0.7879584,0.85081303,0.90027493,0.84634876
BraTS2021_00753,0.5378102,0.5378102,0.5122826,0.529301
BraTS2021_00756,0.9106603,0.9622757,0.92982405,0.9342534
BraTS2021_00765,0.79917014,0.842382,0.9050919,0.8488814
BraTS2021_00788,0.90210617,0.9117843,0.8713362,0.89507556
BraTS2021_00795,0.8580026,0.8775207,0.8960512,0.8771915
BraTS2021_00799,0.9231468,0.95134056,0.9485842,0.9410238
BraTS2021_00802,0.9561271,0.9582077,0.676054,0.8634629
BraTS2021_00809,0.9633338,0.9752235,0.96669596,0.9684177
BraTS2021_00816,0.9509084,0.9701243,0.96329504,0.96144253
BraTS2021_00840,0.7479203,0.4882843,0.9263177,0.72084075
BraTS2021_00999,0.74007744,0.8561978,0.8593324,0.81853586
BraTS2021_01001,0.9028395,0.97920364,0.9601796,0.94740754
BraTS2021_01005,0.94295037,0.9653415,0.93387604,0.9473893
BraTS2021_01007,0.92480826,0.9583836,0.9422065,0.94179946
BraTS2021_01008,0.9431331,0.9579378,0.918282,0.9397843
BraTS2021_01016,0.9340287,0.9647687,0.9383657,0.945721
