filename,class0,class1,class2,mean
BraTS2021_00006,0.10333399,0.13090308,0.09776413,0.11066707
BraTS2021_00014,0.41221765,0.41794246,0.06260398,0.29758802
BraTS2021_00028,0.10669302,0.07432501,0.30377173,0.16159658
BraTS2021_00054,0.15745893,0.35727784,0.07137236,0.19536972
BraTS2021_00061,0.15198238,0.25112873,0.2035262,0.20221244
BraTS2021_00077,0.14604928,0.22363766,0.14625579,0.1719809
BraTS2021_00084,0.09961083,0.09395195,0.20416717,0.13257664
BraTS2021_00089,0.10069097,0.105834395,0.13824785,0.1149244
BraTS2021_00095,0.063054904,0.07532859,0.032159384,0.05684763
BraTS2021_00098,0.24852398,0.3808449,0.110302866,0.24655725
BraTS2021_00102,0.32739985,0.2726196,0.30346787,0.30116245
BraTS2021_00108,0.25085023,0.45211557,0.14413485,0.28236687
BraTS2021_00112,0.35569474,0.17844784,0.08547623,0.20653962
BraTS2021_00115,0.07184431,0.2289614,0.10040501,0.1337369
BraTS2021_00117,0.20660385,0.26312837,0.10922062,0.19298428
BraTS2021_00121,0.10839352,0.114011094,0.17293678,0.13178046
BraTS2021_00123,0.16080566,0.21290992,0.0689202,0.14754526
BraTS2021_00124,0.431377,0.28141797,0.33045125,0.34774876
BraTS2021_00154,0.27034852,0.15035312,0.13108297,0.18392819
BraTS2021_00166,0.14463365,0.1383493,0.16981441,0.15093245
BraTS2021_00177,0.050482687,0.15767977,0.044824664,0.08432904
BraTS2021_00201,0.07130445,0.17930056,0.026971254,0.09252542
BraTS2021_00217,0.107640415,0.19219005,0.036946796,0.11225909
BraTS2021_00219,0.09332952,0.09208721,0.22812878,0.1378485
BraTS2021_00230,0.13721514,0.13205001,0.099328235,0.12286446
BraTS2021_00236,0.158838,0.20531948,0.051201925,0.13845314
BraTS2021_00247,0.1252273,0.09444525,0.018913778,0.07952878
BraTS2021_00261,0.04941002,0.11683592,0.114540026,0.093595326
BraTS2021_00266,0.10325937,0.06340374,0.14291665,0.10319325
BraTS2021_00269,0.11513914,0.21718046,0.13477148,0.15569703
BraTS2021_00270,0.08255064,0.085653536,0.17135173,0.11318531
BraTS2021_00271,0.18551731,0.2582957,0.03346053,0.15909119
BraTS2021_00273,0.0555931,0.064326674,0.03181203,0.050577268
BraTS2021_00284,0.33658883,0.28764197,0.16919197,0.26447424
BraTS2021_00294,0.11659051,0.08831059,0.10176754,0.10222288
BraTS2021_00297,0.35597938,0.34967726,0.11579231,0.27381632
BraTS2021_00317,0.09775175,0.100490816,0.1348119,0.11101816
BraTS2021_00320,0.30859488,0.12894794,0.22824451,0.22192912
BraTS2021_00331,0.40203682,0.27725533,0.24597138,0.30842116
BraTS2021_00347,0.069082946,0.12825017,0.12859833,0.10864381
BraTS2021_00359,0.09483565,0.09135929,0.14091124,0.109035395
BraTS2021_00378,0.14003338,0.19391645,0.18139315,0.17178099
BraTS2021_00392,0.059005562,0.07145208,0.097418524,0.07595872
BraTS2021_00403,0.059561945,0.06486313,0.1885703,0.10433179
BraTS2021_00410,0.10373593,0.12552875,0.05940659,0.09622375
BraTS2021_00414,0.24212556,0.15389712,0.066849686,0.15429078
BraTS2021_00426,0.055988714,0.06896802,0.038496666,0.054484468
BraTS2021_00445,0.21869293,0.1867107,0.19075108,0.19871823
BraTS2021_00451,0.021434493,0.03489859,0.028111555,0.028148213
BraTS2021_00453,0.07705895,0.08916759,0.032720413,0.06631565
BraTS2021_00455,0.08493534,0.12720719,0.14888936,0.12034396
BraTS2021_00457,0.038051482,0.089738294,0.11076231,0.079517365
BraTS2021_00472,0.10501613,0.10387648,0.12231623,0.11040294
BraTS2021_00488,0.074088804,0.09973511,0.18663254,0.12015215
BraTS2021_00493,0.17343079,0.21002223,0.36028975,0.24791425
BraTS2021_00501,0.0624732,0.12954135,0.32353324,0.17184925
BraTS2021_00517,0.07541221,0.071530245,0.104008034,0.083650164
BraTS2021_00524,0.080362484,0.110484675,0.06397214,0.08493977
BraTS2021_00526,0.13069838,0.24228832,0.15383115,0.17560595
BraTS2021_00547,0.1243221,0.1965007,0.03616856,0.11899712
BraTS2021_00554,0.06650166,0.090002805,0.038863517,0.065122664
BraTS2021_00559,0.18760546,0.22572686,0.24772625,0.22035284
BraTS2021_00570,0.13188548,0.08730593,0.21067035,0.14328726
BraTS2021_00584,0.070240386,0.08662789,0.19113934,0.11600254
BraTS2021_00599,0.0563013,0.092436865,0.13220394,0.09364736
BraTS2021_00626,0.13636158,0.1494409,0.041822642,0.109208375
BraTS2021_00628,0.14526229,0.13748012,0.23104335,0.17126192
BraTS2021_00638,0.1305482,0.12834953,0.10276621,0.12055465
BraTS2021_00640,0.053511333,0.11305166,0.10273487,0.08976596
BraTS2021_00641,0.058302093,0.114471026,0.28517228,0.15264846
BraTS2021_00642,0.0717452,0.08803324,0.1998883,0.119888924
BraTS2021_00656,0.3126665,0.36088225,0.13683406,0.27012762
BraTS2021_00680,0.2344653,0.34105903,0.2580699,0.27786472
BraTS2021_00687,0.07104747,0.16378668,0.19470154,0.14317857
BraTS2021_00723,0.16315514,0.26363575,0.07646885,0.16775323
BraTS2021_00724,0.08134495,0.13854674,0.13181528,0.11723566
BraTS2021_00727,0.21036772,0.3155338,0.030154562,0.18535203
BraTS2021_00729,0.11378693,0.095571645,0.084723435,0.09802734
BraTS2021_00732,0.0864937,0.10047278,0.22941807,0.13879485
BraTS2021_00742,0.1090831,0.30061123,0.20519936,0.20496456
BraTS2021_00753,0.21022537,0.208732,0.23209585,0.21701773
BraTS2021_00756,0.06834467,0.13260785,0.13438049,0.11177766
BraTS2021_00765,0.07941304,0.12424561,0.12773457,0.1104644
BraTS2021_00788,0.21068408,0.22407292,0.036872793,0.15720993
BraTS2021_00795,0.17491668,0.23893137,0.12988858,0.18124555
BraTS2021_00799,0.07413602,0.16637167,0.01926363,0.08659044
BraTS2021_00802,0.08343173,0.08625592,0.3411476,0.17027843
