filename,class0,class1,class2,mean
BraTS2021_00006,0.29135305,0.31155783,0.18803671,0.2636492
BraTS2021_00014,0.7826856,0.80667996,0.21022353,0.599863
BraTS2021_00028,0.29849613,0.19903958,0.54456663,0.34736744
BraTS2021_00054,0.32606813,0.65013593,0.16287354,0.37969252
BraTS2021_00061,0.4474986,0.4922001,0.45256448,0.46408772
BraTS2021_00077,0.29855615,0.4063302,0.2506554,0.3185139
BraTS2021_00084,0.2417394,0.23014006,0.35386112,0.27524686
BraTS2021_00089,0.31431684,0.35879892,0.30345938,0.32552505
BraTS2021_00095,0.14099756,0.15866962,0.08086616,0.12684445
BraTS2021_00098,0.5540124,0.72027797,0.20650011,0.4935968
BraTS2021_00102,0.805545,0.6938805,0.5702101,0.68987846
BraTS2021_00108,0.69556034,0.87092704,0.29511422,0.6205339
BraTS2021_00112,0.6914157,0.439703,0.18682042,0.43931305
BraTS2021_00115,0.21431729,0.3996295,0.22524181,0.27972952
BraTS2021_00117,0.54120696,0.55528533,0.21016157,0.4355513
BraTS2021_00121,0.36974552,0.32373154,0.32375747,0.3390782
BraTS2021_00123,0.36868292,0.4417509,0.17852582,0.32965323
BraTS2021_00124,0.84673333,0.5227941,0.59081966,0.65344906
BraTS2021_00154,0.55983984,0.32057834,0.28090194,0.3871067
BraTS2021_00166,0.3362041,0.34703952,0.33523735,0.33949366
BraTS2021_00177,0.15751147,0.35238582,0.129368,0.21308844
BraTS2021_00201,0.18350995,0.40124676,0.08118676,0.22198117
BraTS2021_00217,0.3082583,0.44885975,0.11891574,0.29201126
BraTS2021_00219,0.28728497,0.35248268,0.44528922,0.36168563
BraTS2021_00230,0.3230136,0.39854175,0.26333264,0.32829598
BraTS2021_00236,0.3554816,0.4478429,0.15811116,0.32047853
BraTS2021_00247,0.2996109,0.23622066,0.065654576,0.20049538
BraTS2021_00261,0.1613422,0.2939396,0.2425842,0.23262198
BraTS2021_00266,0.23490411,0.2130835,0.26421767,0.23740177
BraTS2021_00269,0.3057067,0.5143435,0.26844245,0.36283088
BraTS2021_00270,0.38262728,0.392433,0.3594001,0.37815347
BraTS2021_00271,0.41796848,0.530493,0.12335777,0.3572731
BraTS2021_00273,0.1773442,0.23905408,0.10682216,0.17440681
BraTS2021_00284,0.6706362,0.64514226,0.37820622,0.56466156
BraTS2021_00294,0.28397298,0.2796933,0.23042366,0.26469663
BraTS2021_00297,0.65035737,0.65347767,0.24243855,0.51542455
BraTS2021_00317,0.37062684,0.37034783,0.26500937,0.335328
BraTS2021_00320,0.65512896,0.40109566,0.45283595,0.50302017
BraTS2021_00331,0.78294516,0.6944642,0.4483911,0.6419335
BraTS2021_00347,0.15319407,0.3374189,0.24612701,0.24558
BraTS2021_00359,0.32250357,0.30555946,0.28180218,0.3032884
BraTS2021_00378,0.4217291,0.48894048,0.38801995,0.4328965
BraTS2021_00392,0.19058478,0.2919933,0.24923813,0.24393873
BraTS2021_00403,0.29465005,0.2625742,0.38121113,0.31281182
BraTS2021_00410,0.3380672,0.34125817,0.15227363,0.27719966
BraTS2021_00414,0.44457537,0.30045086,0.18388185,0.30963603
BraTS2021_00426,0.18456066,0.2203871,0.12297502,0.17597425
BraTS2021_00445,0.46931297,0.39417946,0.3326065,0.39869964
BraTS2021_00451,0.10027248,0.14644396,0.105603844,0.1174401
