filename,class0,class1,class2,mean
BraTS2021_00006,0.13573363,0.21180555,0.16391432,0.1704845
BraTS2021_00014,0.5834974,0.6125922,0.07306486,0.4230515
BraTS2021_00028,0.21046203,0.14024943,0.45328614,0.2679992
BraTS2021_00054,0.18271448,0.54762,0.048734456,0.25968966
BraTS2021_00061,0.25023568,0.3736463,0.3566419,0.32684126
BraTS2021_00077,0.25270313,0.36178964,0.18459696,0.26636323
BraTS2021_00084,0.09810683,0.08313981,0.29193556,0.1577274
BraTS2021_00089,0.16826665,0.22270381,0.21024567,0.20040537
BraTS2021_00095,0.105727196,0.14902061,0.120235026,0.12499428
BraTS2021_00098,0.48365712,0.64962065,0.12350562,0.4189278
BraTS2021_00102,0.5150886,0.46942246,0.4547758,0.47976232
BraTS2021_00108,0.43929875,0.8006401,0.2041854,0.48137474
BraTS2021_00112,0.55443054,0.3157581,0.07273622,0.3143083
BraTS2021_00115,0.119131684,0.3341887,0.16315547,0.20549195
BraTS2021_00117,0.28439498,0.42985615,0.14611137,0.2867875
BraTS2021_00121,0.11304277,0.13657218,0.2522434,0.16728611
BraTS2021_00123,0.25527817,0.3450818,0.06385994,0.22140664
BraTS2021_00124,0.7911116,0.36754954,0.46252492,0.5403953
BraTS2021_00154,0.41923994,0.22212617,0.17867985,0.27334866
BraTS2021_00166,0.16350907,0.15517622,0.26995617,0.19621383
BraTS2021_00177,0.13922286,0.23335057,0.1179094,0.16349427
BraTS2021_00201,0.1425643,0.24650422,0.072174996,0.15374784
BraTS2021_00217,0.16195215,0.3148179,0.12118165,0.19931723
BraTS2021_00219,0.15874368,0.16547275,0.34170213,0.22197287
BraTS2021_00230,0.14959486,0.17812769,0.14132398,0.15634884
BraTS2021_00236,0.24999183,0.3331124,0.15011309,0.24440579
BraTS2021_00247,0.15012074,0.11927676,0.09685178,0.12208309
BraTS2021_00261,0.09965974,0.21668899,0.19246015,0.16960295
BraTS2021_00266,0.092766345,0.09962952,0.23586152,0.14275247
BraTS2021_00269,0.18725067,0.3185297,0.27468967,0.26015666
BraTS2021_00270,0.18325335,0.14807409,0.26326764,0.19819836
BraTS2021_00271,0.2790465,0.3618031,0.13262677,0.25782546
BraTS2021_00273,0.111071855,0.050021708,0.11832869,0.09314075
BraTS2021_00284,0.49242476,0.41508383,0.2658878,0.39113212
BraTS2021_00294,0.14235401,0.111236066,0.20452093,0.15270366
BraTS2021_00297,0.5116403,0.50668234,0.15106398,0.38979554
BraTS2021_00317,0.16210705,0.19302082,0.20343347,0.1861871
BraTS2021_00320,0.45181656,0.15899134,0.32813963,0.31298253
BraTS2021_00331,0.5964091,0.55336076,0.31883213,0.489534
BraTS2021_00347,0.041085184,0.18449593,0.21118455,0.14558856
BraTS2021_00359,0.097589076,0.10217157,0.20915845,0.13630636
BraTS2021_00378,0.1796399,0.27019033,0.27134088,0.24039038
BraTS2021_00392,0.06345183,0.06477004,0.13454133,0.08758774
BraTS2021_00403,0.10680954,0.11691943,0.3425895,0.18877281
BraTS2021_00410,0.23891544,0.275083,0.06505263,0.19301702
BraTS2021_00414,0.32078335,0.17972392,0.16206644,0.2208579
BraTS2021_00426,0.10589051,0.1394124,0.10393831,0.11641374
BraTS2021_00445,0.27949145,0.25313914,0.28389,0.27217352
BraTS2021_00451,0.1354487,0.06869441,0.13484539,0.11299616
BraTS2021_00453,0.11576262,0.13301228,0.13537113,0.12804867
BraTS2021_00455,0.09353918,0.19776505,0.25767323,0.1829925
BraTS2021_00457,0.10953385,0.15523751,0.19811542,0.15429558
BraTS2021_00472,0.17638725,0.11200786,0.18492669,0.15777393
BraTS2021_00488,0.100798875,0.15913343,0.22021502,0.16004911
BraTS2021_00493,0.26537606,0.32323062,0.8636329,0.48407987
BraTS2021_00501,0.06845403,0.1984765,0.43667698,0.23453583
BraTS2021_00517,0.112523824,0.14453137,0.15938047,0.13881189
BraTS2021_00524,0.1519267,0.17634046,0.059622288,0.12929648
BraTS2021_00526,0.18694675,0.37755895,0.18871647,0.25107405
BraTS2021_00547,0.18640882,0.317042,0.115493685,0.20631485
BraTS2021_00554,0.068437636,0.17255658,0.08539194,0.10879538
BraTS2021_00559,0.29726225,0.31787774,0.30480403,0.306648
BraTS2021_00570,0.18583405,0.08020699,0.31677753,0.19427286
BraTS2021_00584,0.15387946,0.18442804,0.33961853,0.22597535
BraTS2021_00599,0.1127674,0.14983809,0.21879013,0.1604652
BraTS2021_00626,0.1909312,0.24343437,0.15083426,0.19506662
BraTS2021_00628,0.22995445,0.23300052,0.30841145,0.25712213
BraTS2021_00638,0.12753013,0.16844735,0.116568685,0.13751538
BraTS2021_00640,0.1838277,0.21371269,0.17135197,0.18963079
BraTS2021_00641,0.12341821,0.20478302,0.41989753,0.24936624
BraTS2021_00642,0.22798932,0.24176377,0.31149656,0.26041654
BraTS2021_00656,0.4627289,0.9293456,0.2403443,0.54413956
BraTS2021_00680,0.35201842,0.4907387,0.3622426,0.40166655
BraTS2021_00687,0.16329294,0.22714448,0.24159732,0.21067826
BraTS2021_00723,0.2608946,0.36936834,0.15884206,0.26303503
BraTS2021_00724,0.090203315,0.21854115,0.18994853,0.16623099
BraTS2021_00727,0.33316758,0.46917164,0.09632939,0.2995562
BraTS2021_00729,0.12831227,0.1427716,0.14928374,0.14012255
BraTS2021_00732,0.13858944,0.13260764,0.3754642,0.21555376
BraTS2021_00742,0.20259297,0.40263978,0.26165485,0.2889625
BraTS2021_00753,0.38409603,0.39954284,0.43386966,0.4058362
BraTS2021_00756,0.07030097,0.2023027,0.15861163,0.14373843
BraTS2021_00765,0.1028173,0.14641872,0.19687915,0.14870505
BraTS2021_00788,0.33063042,0.29880446,0.1415357,0.2569902
BraTS2021_00795,0.28975487,0.36192232,0.19553351,0.28240356
BraTS2021_00799,0.15014428,0.22785118,0.11931574,0.1657704
BraTS2021_00802,0.17995206,0.17564785,0.4373862,0.26432872
BraTS2021_00809,0.10658771,0.11531454,0.2115481,0.14448345
BraTS2021_00816,0.2954871,0.326738,0.109414674,0.24387993
BraTS2021_00840,0.21254516,0.16534165,0.19314846,0.1903451
BraTS2021_00999,0.3493217,0.16304004,0.29229417,0.26821864
BraTS2021_01001,0.18788901,0.0752738,0.16967833,0.14428037
BraTS2021_01005,0.1067673,0.111733794,0.19506264,0.13785458
BraTS2021_01007,0.23999691,0.13291031,0.20323557,0.1920476
BraTS2021_01008,0.13362694,0.19661492,0.21649033,0.18224406
BraTS2021_01016,0.13364482,0.14137608,0.2798365,0.18495245
BraTS2021_01019,0.12946945,0.07975974,0.15308642,0.12077188
BraTS2021_01020,0.16759148,0.21947429,0.15756543,0.18154372
BraTS2021_01026,0.1686652,0.07588029,0.21011817,0.15155455
BraTS2021_01028,0.1115554,0.0645591,0.18103012,0.11904821
BraTS2021_01052,0.08715612,0.09240244,0.15524653,0.11160169
BraTS2021_01057,0.23441434,0.13700831,0.26708513,0.21283592
BraTS2021_01059,0.2711709,0.22859654,0.043870203,0.18121254
BraTS2021_01064,0.6528052,0.60409635,0.42793736,0.56161296
BraTS2021_01077,0.73358136,0.7549508,0.17953366,0.5560219
BraTS2021_01078,0.21595395,0.18454301,0.22182536,0.20744078
BraTS2021_01080,0.08193743,0.12060261,0.14529929,0.11594644
BraTS2021_01088,0.11072248,0.11612874,0.27169895,0.1661834
BraTS2021_01091,0.2834861,0.3624045,0.24508864,0.29699308
BraTS2021_01107,0.1695654,0.2429984,0.35899228,0.25718537
BraTS2021_01115,0.07043135,0.27385744,0.15188514,0.16539131
BraTS2021_01126,0.13966107,0.13558891,0.25848126,0.1779104
BraTS2021_01129,0.13142875,0.06152439,0.17623726,0.12306347
BraTS2021_01130,0.15900198,0.1782425,0.39349157,0.24357867
BraTS2021_01131,0.08324534,0.18125704,0.21639875,0.16030037
BraTS2021_01142,0.33525285,0.24147761,0.29731572,0.29134873
BraTS2021_01153,0.119437546,0.34349325,0.048161328,0.17036404
BraTS2021_01154,0.09969181,0.131138,0.3830335,0.20462112
BraTS2021_01170,0.22976163,0.3238274,0.15257838,0.23538911
BraTS2021_01176,0.4194897,0.465371,0.17627484,0.35371184
BraTS2021_01182,0.8148182,0.86112005,0.14952351,0.60848725
BraTS2021_01203,0.32795954,0.42066652,0.38405788,0.37756133
BraTS2021_01206,0.3139878,0.25820842,0.09448582,0.22222735
BraTS2021_01212,0.17645755,0.16600621,0.08430424,0.142256
BraTS2021_01222,0.65323424,0.14240867,0.23254663,0.34272984
BraTS2021_01225,0.24590978,0.34308097,0.23368639,0.2742257
BraTS2021_01255,0.5026933,0.49739167,0.37240776,0.4574976
BraTS2021_01256,0.16281796,0.28099734,0.11927682,0.18769737
BraTS2021_01258,0.20427555,0.15758869,0.1531519,0.17167205
BraTS2021_01262,0.24719414,0.24982856,0.30220315,0.2664086
BraTS2021_01263,0.3691349,0.13191308,0.15932229,0.22012341
BraTS2021_01286,0.21930882,0.21438643,0.09717083,0.17695536
BraTS2021_01293,0.3590732,0.33560994,0.2136805,0.30278787
BraTS2021_01295,0.07416281,0.21310991,0.17616338,0.1544787
BraTS2021_01301,0.25907207,0.26158804,0.41213608,0.31093207
BraTS2021_01302,0.13546956,0.19522771,0.15300062,0.16123264
BraTS2021_01303,0.2329176,0.3841383,0.3279312,0.31499568
BraTS2021_01306,0.47070837,0.44310856,0.12817764,0.34733152
BraTS2021_01307,0.21884382,0.2982517,0.15879518,0.2252969
BraTS2021_01317,0.07012838,0.07439256,0.18873152,0.111084156
BraTS2021_01326,0.14120393,0.13559511,0.098609805,0.12513627
BraTS2021_01329,0.29419696,0.24686712,0.24872151,0.26326188
BraTS2021_01333,0.32691234,0.33408993,0.65303624,0.43801284
BraTS2021_01335,0.14106488,0.2347973,0.1480815,0.17464788
BraTS2021_01336,0.16853322,0.09868482,0.16610605,0.14444137
BraTS2021_01340,0.10395771,0.18771899,0.12055451,0.1374104
BraTS2021_01345,0.13338244,0.09816921,0.23187366,0.15447511
BraTS2021_01346,0.16511998,0.09463394,0.18468952,0.1481478
BraTS2021_01353,0.20821682,0.17016985,0.086465746,0.15495081
BraTS2021_01354,0.117826104,0.10009056,0.096394,0.10477022
BraTS2021_01356,0.10640347,0.29776096,0.077378966,0.16051446
BraTS2021_01357,0.12473196,0.088367164,0.14479077,0.11929663
BraTS2021_01360,0.11151355,0.075820796,0.120381415,0.10257193
BraTS2021_01364,0.29301226,0.26220882,0.22231743,0.2591795
BraTS2021_01365,0.67139626,0.2510612,0.36777776,0.43007842
BraTS2021_01373,0.050702155,0.12532961,0.12883824,0.101623334
BraTS2021_01388,0.07765177,0.063732445,0.16000462,0.10046294
BraTS2021_01390,0.10019511,0.16725251,0.17253792,0.14666185
BraTS2021_01398,0.16050369,0.2421143,0.14329171,0.1819699
BraTS2021_01406,0.11780888,0.16179341,0.15121901,0.1436071
BraTS2021_01410,0.1130106,0.09891772,0.22377038,0.1452329
BraTS2021_01415,0.11499961,0.18644083,0.070724696,0.124055035
BraTS2021_01416,0.32416585,0.19756599,0.16068453,0.22747213
BraTS2021_01417,0.23534235,0.34333557,0.17405292,0.25091028
BraTS2021_01432,0.05990558,0.264512,0.064144224,0.12952061
BraTS2021_01444,0.16045573,0.14637955,0.2838276,0.19688763
BraTS2021_01450,0.3822689,0.27214462,0.047075987,0.23382984
BraTS2021_01460,0.4863886,0.32940435,0.069054104,0.29494902
BraTS2021_01464,0.37168238,0.5422821,0.3125714,0.4088453
BraTS2021_01468,0.33082163,0.093805194,0.2793761,0.23466764
BraTS2021_01470,0.30685234,0.2914464,0.16020739,0.25283536
BraTS2021_01475,0.03778851,0.10285574,0.08086774,0.07383733
BraTS2021_01480,0.15862563,0.15914655,0.21826589,0.17867935
BraTS2021_01489,0.5492609,0.37066975,0.43123883,0.45038986
BraTS2021_01490,0.07837331,0.36354777,0.2583634,0.23342817
BraTS2021_01512,0.963334,0.16021627,0.28789574,0.47048202
BraTS2021_01530,0.75799894,0.827865,0.56729054,0.7177181
BraTS2021_01532,0.122731805,0.60811514,0.09198588,0.2742776
BraTS2021_01541,0.18815482,0.20616758,0.10812983,0.16748409
BraTS2021_01545,0.1519562,0.16294807,0.30058396,0.20516275
BraTS2021_01547,0.17501646,0.13740063,0.10265866,0.13835858
BraTS2021_01548,0.2995354,0.31126696,0.14030454,0.25036895
BraTS2021_01557,0.17003673,0.16517851,0.19839796,0.17787106
BraTS2021_01568,0.10398388,0.13866901,0.11210115,0.118251346
BraTS2021_01585,0.17375872,0.12664023,0.23132604,0.17724167
BraTS2021_01612,0.07680553,0.14286923,0.13058478,0.11675318
BraTS2021_01626,0.20566732,0.19029716,0.19829232,0.19808559
BraTS2021_01627,0.10756415,0.1732133,0.13080469,0.13719405
BraTS2021_01635,0.30251282,0.27746692,0.15784512,0.24594164
BraTS2021_01636,0.9546319,0.9283751,0.3805256,0.7545109
BraTS2021_01640,0.13226625,0.13116404,0.22999457,0.16447495
BraTS2021_01642,0.12270862,0.14104149,0.10922116,0.124323756
BraTS2021_01643,0.22579962,0.1981729,0.30485177,0.24294142
BraTS2021_01644,0.24769872,0.23863468,0.26407588,0.2501364
BraTS2021_01645,0.23884898,0.30703902,0.09376526,0.21321775
BraTS2021_01646,0.5025262,0.50521696,0.1809896,0.39624426
BraTS2021_01648,0.18598217,0.091591,0.2704597,0.18267763
BraTS2021_01655,0.05772549,0.15490323,0.15141031,0.12134635
BraTS2021_01658,0.103120804,0.22428834,0.17127493,0.16622803
BraTS2021_01659,0.16896945,0.23465848,0.13574252,0.17979014
