filename,class0,class1,class2,mean
BraTS2021_00006,0.90924877,0.9656027,0.96030134,0.94505095
BraTS2021_00014,0.48328844,0.45023653,0.8253018,0.5862756
BraTS2021_00028,0.70170826,0.72776777,0.80803627,0.74583745
BraTS2021_00054,0.7497305,0.842905,0.9010194,0.8312183
BraTS2021_00061,0.5632313,0.8130983,0.7129544,0.696428
BraTS2021_00077,0.940728,0.9716676,0.94663996,0.9530118
BraTS2021_00084,0.8617823,0.8896064,0.89018404,0.88052434
BraTS2021_00089,0.9526346,0.97238994,0.90737355,0.9441326
BraTS2021_00095,0.90067035,0.9736578,0.96045774,0.94492865
BraTS2021_00098,0.32629928,0.3678161,0.5832422,0.42578587
BraTS2021_00102,0.54811835,0.559527,0.56753224,0.5583925
BraTS2021_00108,0.15899342,0.12380316,0.85898346,0.38059333
BraTS2021_00112,0.3813058,0.47526506,0.8744587,0.57700986
BraTS2021_00115,0.92395353,0.9625239,0.9549043,0.9471273
BraTS2021_00117,0.5986782,0.5547972,0.8796861,0.6777205
BraTS2021_00121,0.94906485,0.96108246,0.9029894,0.9377122
BraTS2021_00123,0.9475148,0.9703115,0.9151796,0.9443353
BraTS2021_00124,0.4799822,0.9571568,0.86040485,0.765848
BraTS2021_00154,0.73882204,0.8954106,0.9335158,0.8559162
BraTS2021_00166,0.9188863,0.9423671,0.94794595,0.93639976
BraTS2021_00177,0.9270938,0.977113,0.96302444,0.95574373
BraTS2021_00201,0.87978715,0.95093244,0.9592689,0.9299962
BraTS2021_00217,0.96099573,0.9655668,0.9548028,0.9604551
BraTS2021_00219,0.96436375,0.9721489,0.89346063,0.9433244
BraTS2021_00230,0.84739846,0.95039594,0.9457459,0.9145134
BraTS2021_00236,0.9055175,0.9364944,0.91105545,0.91768914
BraTS2021_00247,0.9192226,0.9325119,0.9535096,0.9350814
BraTS2021_00261,0.9547092,0.9825225,0.9609464,0.9660594
BraTS2021_00266,0.91602445,0.96522504,0.9609078,0.9473858
BraTS2021_00269,0.9285381,0.95459527,0.95859855,0.947244
BraTS2021_00270,0.9081872,0.9074213,0.811909,0.8758392
BraTS2021_00271,0.9257531,0.90110654,0.9661617,0.93100715
BraTS2021_00273,0.8998096,0.95870245,0.94920427,0.93590546
BraTS2021_00284,0.72186047,0.7413085,0.7488436,0.7373375
BraTS2021_00294,0.8605108,0.9256612,0.97124565,0.9191392
BraTS2021_00297,0.7721383,0.90993047,0.90957254,0.86388046
BraTS2021_00317,0.9575677,0.9685254,0.96423197,0.96344167
BraTS2021_00320,0.7846,0.8977086,0.82042724,0.83424526
BraTS2021_00331,0.43144104,0.1764706,0.7890495,0.46565375
BraTS2021_00347,0.9078188,0.9673069,0.9518238,0.9423165
BraTS2021_00359,0.9500961,0.9649373,0.9483759,0.95446974
BraTS2021_00378,0.8343294,0.84867483,0.9101639,0.8643894
BraTS2021_00392,0.95633984,0.9787446,0.961196,0.96542686
BraTS2021_00403,0.9449545,0.9689252,0.94343156,0.9524371
BraTS2021_00410,0.9334825,0.9502795,0.8805247,0.9214289
BraTS2021_00414,0.7590865,0.9274967,0.95929384,0.88195896
BraTS2021_00426,0.9594523,0.9751074,0.96218055,0.96558005
BraTS2021_00445,0.92932016,0.9401909,0.94402975,0.93784696
BraTS2021_00451,0.92580056,0.96223235,0.9654499,0.9511609
BraTS2021_00453,0.9281882,0.9500157,0.9751981,0.95113397
BraTS2021_00455,0.93861884,0.95492834,0.9722165,0.95525455
BraTS2021_00457,0.9100532,0.95895755,0.93473166,0.9345808
BraTS2021_00472,0.79445636,0.92152756,0.9204677,0.87881714
BraTS2021_00488,0.84004396,0.9238376,0.89003205,0.88463783
BraTS2021_00493,0.84512085,0.88034934,0.18247972,0.6359833
BraTS2021_00501,0.7893864,0.80138236,0.8343684,0.8083791
BraTS2021_00517,0.93285954,0.9385875,0.93387175,0.9351063
BraTS2021_00524,0.8294388,0.95581555,0.9250115,0.90342194
BraTS2021_00526,0.8750817,0.95919895,0.94518065,0.92648715
BraTS2021_00547,0.8912573,0.9594411,0.94190514,0.93086785
BraTS2021_00554,0.9071049,0.97589076,0.93380266,0.9389327
BraTS2021_00559,0.86410314,0.94510174,0.7668612,0.85868865
